n:39 mse_avg:97.34 mse_y:127.96 mse_u:46.00 mse_v:26.19 psnr_avg:28.25 psnr_y:27.06 psnr_u:31.50 psnr_v:33.95 
n:40 mse_avg:96.80 mse_y:127.24 mse_u:45.75 mse_v:26.07 psnr_avg:28.27 psnr_y:27.08 psnr_u:31.53 psnr_v:33.97 
n:41 mse_avg:97.10 mse_y:127.43 mse_u:46.50 mse_v:26.39 psnr_avg:28.26 psnr_y:27.08 psnr_u:31.46 psnr_v:33.92 
n:42 mse_avg:96.98 mse_y:127.12 mse_u:46.87 mse_v:26.51 psnr_avg:28.26 psnr_y:27.09 psnr_u:31.42 psnr_v:33.90 
n:43 mse_avg:98.23 mse_y:129.01 mse_u:47.00 mse_v:26.29 psnr_avg:28.21 psnr_y:27.02 psnr_u:31.41 psnr_v:33.93 
n:44 mse_avg:98.09 mse_y:128.39 mse_u:48.11 mse_v:26.88 psnr_avg:28.21 psnr_y:27.05 psnr_u:31.31 psnr_v:33.84 
n:45 mse_avg:100.02 mse_y:131.50 mse_u:47.55 mse_v:26.62 psnr_avg:28.13 psnr_y:26.94 psnr_u:31.36 psnr_v:33.88 
n:46 mse_avg:101.02 mse_y:132.83 mse_u:47.98 mse_v:26.79 psnr_avg:28.09 psnr_y:26.90 psnr_u:31.32 psnr_v:33.85 
n:47 mse_avg:100.25 mse_y:131.82 mse_u:47.54 mse_v:26.69 psnr_avg:28.12 psnr_y:26.93 psnr_u:31.36 psnr_v:33.87 
n:48 mse_avg:101.65 mse_y:133.78 mse_u:47.87 mse_v:26.89 psnr_avg:28.06 psnr_y:26.87 psnr_u:31.33 psnr_v:33.83 
n:49 mse_avg:101.32 mse_y:133.24 mse_u:48.12 mse_v:26.87 psnr_avg:28.07 psnr_y:26.88 psnr_u:31.31 psnr_v:33.84 
n:50 mse_avg:102.69 mse_y:135.17 mse_u:48.64 mse_v:26.79 psnr_avg:28.02 psnr_y:26.82 psnr_u:31.26 psnr_v:33.85 
n:51 mse_avg:105.05 mse_y:138.71 mse_u:48.76 mse_v:26.72 psnr_avg:27.92 psnr_y:26.71 psnr_u:31.25 psnr_v:33.86 
n:52 mse_avg:107.62 mse_y:142.56 mse_u:48.63 mse_v:26.85 psnr_avg:27.81 psnr_y:26.59 psnr_u:31.26 psnr_v:33.84 
