n:1 mse_avg:47.25 mse_y:57.99 mse_u:31.42 mse_v:20.11 psnr_avg:31.39 psnr_y:30.50 psnr_u:33.16 psnr_v:35.10 
n:2 mse_avg:50.75 mse_y:62.60 mse_u:33.44 mse_v:20.64 psnr_avg:31.08 psnr_y:30.16 psnr_u:32.89 psnr_v:34.98 
n:3 mse_avg:50.66 mse_y:62.52 mse_u:33.42 mse_v:20.49 psnr_avg:31.08 psnr_y:30.17 psnr_u:32.89 psnr_v:35.02 
n:4 mse_avg:51.06 mse_y:63.01 mse_u:34.05 mse_v:20.28 psnr_avg:31.05 psnr_y:30.14 psnr_u:32.81 psnr_v:35.06 
n:5 mse_avg:52.24 mse_y:64.46 mse_u:35.06 mse_v:20.55 psnr_avg:30.95 psnr_y:30.04 psnr_u:32.68 psnr_v:35.00 
n:6 mse_avg:52.46 mse_y:64.78 mse_u:35.27 mse_v:20.39 psnr_avg:30.93 psnr_y:30.02 psnr_u:32.66 psnr_v:35.04 
n:7 mse_avg:52.52 mse_y:64.82 mse_u:35.59 mse_v:20.27 psnr_avg:30.93 psnr_y:30.01 psnr_u:32.62 psnr_v:35.06 
n:8 mse_avg:53.58 mse_y:66.23 mse_u:35.96 mse_v:20.62 psnr_avg:30.84 psnr_y:29.92 psnr_u:32.57 psnr_v:34.99 
n:9 mse_avg:53.15 mse_y:65.51 mse_u:36.38 mse_v:20.48 psnr_avg:30.88 psnr_y:29.97 psnr_u:32.52 psnr_v:35.02 
n:10 mse_avg:53.64 mse_y:66.18 mse_u:36.52 mse_v:20.56 psnr_avg:30.84 psnr_y:29.92 psnr_u:32.51 psnr_v:35.00 
n:11 mse_avg:53.88 mse_y:66.56 mse_u:36.57 mse_v:20.46 psnr_avg:30.82 psnr_y:29.90 psnr_u:32.50 psnr_v:35.02 
n:12 mse_avg:54.98 mse_y:68.15 mse_u:36.88 mse_v:20.40 psnr_avg:30.73 psnr_y:29.80 psnr_u:32.46 psnr_v:35.03 
n:13 mse_avg:63.45 mse_y:80.61 mse_u:37.43 mse_v:20.86 psnr_avg:30.11 psnr_y:29.07 psnr_u:32.40 psnr_v:34.94 
n:14 mse_avg:71.99 mse_y:93.03 mse_u:38.34 mse_v:21.51 psnr_avg:29.56 psnr_y:28.44 psnr_u:32.29 psnr_v:34.81 
n:15 mse_avg:74.32 mse_y:96.29 mse_u:39.26 mse_v:21.52 psnr_avg:29.42 psnr_y:28.30 psnr_u:32.19 psnr_v:34.80 
n:16 mse_avg:74.49 mse_y:96.40 mse_u:39.65 mse_v:21.69 psnr_avg:29.41 psnr_y:28.29 psnr_u:32.15 psnr_v:34.77 
n:17 mse_avg:75.11 mse_y:97.15 mse_u:40.12 mse_v:21.95 psnr_avg:29.37 psnr_y:28.26 psnr_u:32.10 psnr_v:34.72 
n:18 mse_avg:74.59 mse_y:96.45 mse_u:39.84 mse_v:21.90 psnr_avg:29.40 psnr_y:28.29 psnr_u:32.13 psnr_v:34.73 
n:19 mse_avg:74.51 mse_y:96.06 mse_u:40.37 mse_v:22.43 psnr_avg:29.41 psnr_y:28.31 psnr_u:32.07 psnr_v:34.62 
n:20 mse_avg:74.12 mse_y:95.29 mse_u:40.67 mse_v:22.88 psnr_avg:29.43 psnr_y:28.34 psnr_u:32.04 psnr_v:34.54 
n:21 mse_avg:73.25 mse_y:93.93 mse_u:40.89 mse_v:22.91 psnr_avg:29.48 psnr_y:28.40 psnr_u:32.01 psnr_v:34.53 
