n:39 mse_avg:38.01 mse_y:43.20 mse_u:34.08 mse_v:21.18 psnr_avg:32.33 psnr_y:31.78 psnr_u:32.81 psnr_v:34.87 
n:40 mse_avg:38.03 mse_y:43.17 mse_u:34.18 mse_v:21.29 psnr_avg:32.33 psnr_y:31.78 psnr_u:32.79 psnr_v:34.85 
n:41 mse_avg:38.37 mse_y:43.44 mse_u:35.00 mse_v:21.47 psnr_avg:32.29 psnr_y:31.75 psnr_u:32.69 psnr_v:34.81 
n:42 mse_avg:38.69 mse_y:43.82 mse_u:35.32 mse_v:21.56 psnr_avg:32.25 psnr_y:31.71 psnr_u:32.65 psnr_v:34.80 
n:43 mse_avg:39.67 mse_y:45.16 mse_u:35.66 mse_v:21.72 psnr_avg:32.15 psnr_y:31.58 psnr_u:32.61 psnr_v:34.76 
n:44 mse_avg:40.13 mse_y:45.69 mse_u:36.19 mse_v:21.88 psnr_avg:32.10 psnr_y:31.53 psnr_u:32.55 psnr_v:34.73 
n:45 mse_avg:40.81 mse_y:46.62 mse_u:36.20 mse_v:22.15 psnr_avg:32.02 psnr_y:31.44 psnr_u:32.54 psnr_v:34.68 
n:46 mse_avg:40.93 mse_y:46.64 mse_u:36.76 mse_v:22.25 psnr_avg:32.01 psnr_y:31.44 psnr_u:32.48 psnr_v:34.66 
n:47 mse_avg:41.28 mse_y:47.04 mse_u:37.13 mse_v:22.38 psnr_avg:31.97 psnr_y:31.41 psnr_u:32.43 psnr_v:34.63 
n:48 mse_avg:42.10 mse_y:48.17 mse_u:37.32 mse_v:22.57 psnr_avg:31.89 psnr_y:31.30 psnr_u:32.41 psnr_v:34.59 
n:49 mse_avg:41.68 mse_y:47.65 mse_u:37.11 mse_v:22.37 psnr_avg:31.93 psnr_y:31.35 psnr_u:32.44 psnr_v:34.63 
n:50 mse_avg:42.07 mse_y:48.12 mse_u:37.45 mse_v:22.47 psnr_avg:31.89 psnr_y:31.31 psnr_u:32.40 psnr_v:34.61 
n:51 mse_avg:42.33 mse_y:48.58 mse_u:37.23 mse_v:22.43 psnr_avg:31.86 psnr_y:31.27 psnr_u:32.42 psnr_v:34.62 
n:52 mse_avg:43.16 mse_y:49.83 mse_u:37.15 mse_v:22.48 psnr_avg:31.78 psnr_y:31.16 psnr_u:32.43 psnr_v:34.61 
n:53 mse_avg:43.46 mse_y:50.13 mse_u:37.61 mse_v:22.60 psnr_avg:31.75 psnr_y:31.13 psnr_u:32.38 psnr_v:34.59 
n:54 mse_avg:42.89 mse_y:49.26 mse_u:37.72 mse_v:22.56 psnr_avg:31.81 psnr_y:31.21 psnr_u:32.36 psnr_v:34.60 
n:55 mse_avg:42.95 mse_y:49.34 mse_u:37.46 mse_v:22.86 psnr_avg:31.80 psnr_y:31.20 psnr_u:32.39 psnr_v:34.54 
n:56 mse_avg:43.36 mse_y:49.94 mse_u:37.51 mse_v:22.91 psnr_avg:31.76 psnr_y:31.15 psnr_u:32.39 psnr_v:34.53 
n:57 mse_avg:42.77 mse_y:49.06 mse_u:37.31 mse_v:23.07 psnr_avg:31.82 psnr_y:31.22 psnr_u:32.41 psnr_v:34.50 
n:58 mse_avg:42.54 mse_y:48.69 mse_u:37.45 mse_v:22.99 psnr_avg:31.84 psnr_y:31.26 psnr_u:32.40 psnr_v:34.52 
n:59 mse_avg:43.19 mse_y:49.43 mse_u:38.34 mse_v:23.06 psnr_avg:31.78 psnr_y:31.19 psnr_u:32.29 psnr_v:34.50 
n:60 mse_avg:43.42 mse_y:49.58 mse_u:38.72 mse_v:23.50 psnr_avg:31.75 psnr_y:31.18 psnr_u:32.25 psnr_v:34.42 
n:61 mse_avg:42.89 mse_y:48.87 mse_u:38.44 mse_v:23.41 psnr_avg:31.81 psnr_y:31.24 psnr_u:32.28 psnr_v:34.44 
n:62 mse_avg:43.00 mse_y:48.88 mse_u:38.94 mse_v:23.55 psnr_avg:31.80 psnr_y:31.24 psnr_u:32.23 psnr_v:34.41 
n:63 mse_avg:43.29 mse_y:49.22 mse_u:39.07 mse_v:23.77 psnr_avg:31.77 psnr_y:31.21 psnr_u:32.21 psnr_v:34.37 
n:64 mse_avg:43.66 mse_y:49.60 mse_u:39.59 mse_v:24.01 psnr_avg:31.73 psnr_y:31.18 psnr_u:32.16 psnr_v:34.33 
n:65 mse_avg:44.19 mse_y:50.34 mse_u:39.61 mse_v:24.14 psnr_avg:31.68 psnr_y:31.11 psnr_u:32.15 psnr_v:34.30 
n:66 mse_avg:44.53 mse_y:50.70 mse_u:40.19 mse_v:24.20 psnr_avg:31.64 psnr_y:31.08 psnr_u:32.09 psnr_v:34.29 
n:67 mse_avg:46.12 mse_y:52.94 mse_u:40.44 mse_v:24.55 psnr_avg:31.49 psnr_y:30.89 psnr_u:32.06 psnr_v:34.23 
n:68 mse_avg:45.43 mse_y:51.94 mse_u:40.47 mse_v:24.33 psnr_avg:31.56 psnr_y:30.98 psnr_u:32.06 psnr_v:34.27 
n:69 mse_avg:44.04 mse_y:50.06 mse_u:39.98 mse_v:24.02 psnr_avg:31.69 psnr_y:31.14 psnr_u:32.11 psnr_v:34.33 
n:70 mse_avg:44.62 mse_y:50.58 mse_u:41.20 mse_v:24.18 psnr_avg:31.64 psnr_y:31.09 psnr_u:31.98 psnr_v:34.30 
n:71 mse_avg:46.45 mse_y:53.32 mse_u:40.71 mse_v:24.69 psnr_avg:31.46 psnr_y:30.86 psnr_u:32.03 psnr_v:34.21 
n:72 mse_avg:46.61 mse_y:53.37 mse_u:41.51 mse_v:24.68 psnr_avg:31.45 psnr_y:30.86 psnr_u:31.95 psnr_v:34.21 
n:73 mse_avg:46.92 mse_y:53.84 mse_u:41.57 mse_v:24.56 psnr_avg:31.42 psnr_y:30.82 psnr_u:31.94 psnr_v:34.23 
n:74 mse_avg:47.27 mse_y:54.18 mse_u:41.99 mse_v:24.91 psnr_avg:31.39 psnr_y:30.79 psnr_u:31.90 psnr_v:34.17 
n:75 mse_avg:49.55 mse_y:57.34 mse_u:42.95 mse_v:24.99 psnr_avg:31.18 psnr_y:30.55 psnr_u:31.80 psnr_v:34.15 
n:76 mse_avg:48.15 mse_y:55.13 mse_u:43.27 mse_v:25.15 psnr_avg:31.30 psnr_y:30.72 psnr_u:31.77 psnr_v:34.12 
n:77 mse_avg:48.03 mse_y:54.76 mse_u:43.98 mse_v:25.17 psnr_avg:31.32 psnr_y:30.75 psnr_u:31.70 psnr_v:34.12 
n:78 mse_avg:47.58 mse_y:54.19 mse_u:43.84 mse_v:24.89 psnr_avg:31.36 psnr_y:30.79 psnr_u:31.71 psnr_v:34.17 
n:79 mse_avg:47.48 mse_y:54.06 mse_u:43.50 mse_v:25.16 psnr_avg:31.37 psnr_y:30.80 psnr_u:31.75 psnr_v:34.12 
n:80 mse_avg:47.75 mse_y:54.42 mse_u:43.69 mse_v:25.16 psnr_avg:31.34 psnr_y:30.77 psnr_u:31.73 psnr_v:34.12 
n:81 mse_avg:47.48 mse_y:54.07 mse_u:43.67 mse_v:24.91 psnr_avg:31.37 psnr_y:30.80 psnr_u:31.73 psnr_v:34.17 
n:82 mse_avg:47.77 mse_y:54.51 mse_u:43.57 mse_v:25.02 psnr_avg:31.34 psnr_y:30.77 psnr_u:31.74 psnr_v:34.15 
n:83 mse_avg:48.03 mse_y:54.95 mse_u:43.28 mse_v:25.14 psnr_avg:31.32 psnr_y:30.73 psnr_u:31.77 psnr_v:34.13 
n:84 mse_avg:48.25 mse_y:54.90 mse_u:44.68 mse_v:25.23 psnr_avg:31.30 psnr_y:30.74 psnr_u:31.63 psnr_v:34.11 
n:85 mse_avg:48.90 mse_y:55.79 mse_u:45.18 mse_v:25.05 psnr_avg:31.24 psnr_y:30.67 psnr_u:31.58 psnr_v:34.14 
n:86 mse_avg:49.25 mse_y:56.27 mse_u:45.17 mse_v:25.27 psnr_avg:31.21 psnr_y:30.63 psnr_u:31.58 psnr_v:34.10 
n:87 mse_avg:49.74 mse_y:56.75 mse_u:45.90 mse_v:25.50 psnr_avg:31.16 psnr_y:30.59 psnr_u:31.51 psnr_v:34.07 
n:88 mse_avg:50.14 mse_y:57.15 mse_u:46.76 mse_v:25.52 psnr_avg:31.13 psnr_y:30.56 psnr_u:31.43 psnr_v:34.06 
n:89 mse_avg:50.45 mse_y:57.74 mse_u:46.05 mse_v:25.70 psnr_avg:31.10 psnr_y:30.52 psnr_u:31.50 psnr_v:34.03 
n:90 mse_avg:50.51 mse_y:57.76 mse_u:46.05 mse_v:25.97 psnr_avg:31.10 psnr_y:30.51 psnr_u:31.50 psnr_v:33.99 
n:91 mse_avg:50.99 mse_y:58.32 mse_u:46.56 mse_v:26.11 psnr_avg:31.06 psnr_y:30.47 psnr_u:31.45 psnr_v:33.96 
n:92 mse_avg:51.89 mse_y:59.31 mse_u:47.66 mse_v:26.45 psnr_avg:30.98 psnr_y:30.40 psnr_u:31.35 psnr_v:33.91 
n:93 mse_avg:52.49 mse_y:59.94 mse_u:48.49 mse_v:26.71 psnr_avg:30.93 psnr_y:30.35 psnr_u:31.27 psnr_v:33.86 
n:94 mse_avg:52.76 mse_y:60.25 mse_u:48.71 mse_v:26.84 psnr_avg:30.91 psnr_y:30.33 psnr_u:31.25 psnr_v:33.84 
n:95 mse_avg:53.32 mse_y:60.84 mse_u:49.40 mse_v:27.16 psnr_avg:30.86 psnr_y:30.29 psnr_u:31.19 psnr_v:33.79 
n:96 mse_avg:54.37 mse_y:62.33 mse_u:49.37 mse_v:27.52 psnr_avg:30.78 psnr_y:30.18 psnr_u:31.20 psnr_v:33.73 
n:97 mse_avg:54.75 mse_y:62.65 mse_u:50.22 mse_v:27.68 psnr_avg:30.75 psnr_y:30.16 psnr_u:31.12 psnr_v:33.71 
n:98 mse_avg:55.15 mse_y:63.08 mse_u:50.51 mse_v:28.10 psnr_avg:30.71 psnr_y:30.13 psnr_u:31.10 psnr_v:33.64 
n:99 mse_avg:54.62 mse_y:62.44 mse_u:49.93 mse_v:28.04 psnr_avg:30.76 psnr_y:30.18 psnr_u:31.15 psnr_v:33.65 
n:100 mse_avg:55.10 mse_y:62.99 mse_u:50.52 mse_v:28.09 psnr_avg:30.72 psnr_y:30.14 psnr_u:31.10 psnr_v:33.65 
n:101 mse_avg:56.27 mse_y:64.34 mse_u:51.85 mse_v:28.39 psnr_avg:30.63 psnr_y:30.05 psnr_u:30.98 psnr_v:33.60 
n:102 mse_avg:56.83 mse_y:64.89 mse_u:52.33 mse_v:29.09 psnr_avg:30.58 psnr_y:30.01 psnr_u:30.94 psnr_v:33.49 
n:103 mse_avg:57.68 mse_y:66.08 mse_u:52.67 mse_v:29.12 psnr_avg:30.52 psnr_y:29.93 psnr_u:30.92 psnr_v:33.49 
n:104 mse_avg:58.07 mse_y:66.49 mse_u:53.00 mse_v:29.45 psnr_avg:30.49 psnr_y:29.90 psnr_u:30.89 psnr_v:33.44 
n:105 mse_avg:58.20 mse_y:66.64 mse_u:53.40 mse_v:29.23 psnr_avg:30.48 psnr_y:29.89 psnr_u:30.86 psnr_v:33.47 
n:106 mse_avg:57.97 mse_y:66.37 mse_u:53.14 mse_v:29.23 psnr_avg:30.50 psnr_y:29.91 psnr_u:30.88 psnr_v:33.47 
n:107 mse_avg:58.74 mse_y:67.43 mse_u:53.26 mse_v:29.45 psnr_avg:30.44 psnr_y:29.84 psnr_u:30.87 psnr_v:33.44 
n:108 mse_avg:59.22 mse_y:67.87 mse_u:54.44 mse_v:29.41 psnr_avg:30.41 psnr_y:29.81 psnr_u:30.77 psnr_v:33.45 
n:109 mse_avg:60.82 mse_y:70.02 mse_u:54.72 mse_v:30.17 psnr_avg:30.29 psnr_y:29.68 psnr_u:30.75 psnr_v:33.34 
n:110 mse_avg:61.49 mse_y:71.09 mse_u:54.45 mse_v:30.18 psnr_avg:30.24 psnr_y:29.61 psnr_u:30.77 psnr_v:33.33 
n:111 mse_avg:62.70 mse_y:72.45 mse_u:56.17 mse_v:30.25 psnr_avg:30.16 psnr_y:29.53 psnr_u:30.64 psnr_v:33.32 
n:112 mse_avg:60.82 mse_y:69.78 mse_u:55.54 mse_v:30.29 psnr_avg:30.29 psnr_y:29.69 psnr_u:30.68 psnr_v:33.32 
n:113 mse_avg:61.69 mse_y:70.95 mse_u:56.11 mse_v:30.26 psnr_avg:30.23 psnr_y:29.62 psnr_u:30.64 psnr_v:33.32 
n:114 mse_avg:62.53 mse_y:72.15 mse_u:55.97 mse_v:30.58 psnr_avg:30.17 psnr_y:29.55 psnr_u:30.65 psnr_v:33.28 
n:115 mse_avg:62.52 mse_y:72.12 mse_u:56.19 mse_v:30.48 psnr_avg:30.17 psnr_y:29.55 psnr_u:30.63 psnr_v:33.29 
n:116 mse_avg:62.52 mse_y:72.05 mse_u:56.48 mse_v:30.44 psnr_avg:30.17 psnr_y:29.55 psnr_u:30.61 psnr_v:33.30 
n:117 mse_avg:63.53 mse_y:72.96 mse_u:58.46 mse_v:30.92 psnr_avg:30.10 psnr_y:29.50 psnr_u:30.46 psnr_v:33.23 
