n:1 mse_avg:73.29 mse_y:95.32 mse_u:36.26 mse_v:22.20 psnr_avg:29.48 psnr_y:28.34 psnr_u:32.54 psnr_v:34.67 
n:2 mse_avg:80.57 mse_y:106.04 mse_u:36.87 mse_v:22.41 psnr_avg:29.07 psnr_y:27.88 psnr_u:32.46 psnr_v:34.63 
n:3 mse_avg:84.89 mse_y:112.31 mse_u:37.60 mse_v:22.49 psnr_avg:28.84 psnr_y:27.63 psnr_u:32.38 psnr_v:34.61 
n:4 mse_avg:88.15 mse_y:117.40 mse_u:36.94 mse_v:22.36 psnr_avg:28.68 psnr_y:27.43 psnr_u:32.46 psnr_v:34.64 
n:5 mse_avg:93.48 mse_y:125.08 mse_u:37.96 mse_v:22.57 psnr_avg:28.42 psnr_y:27.16 psnr_u:32.34 psnr_v:34.59 
n:6 mse_avg:98.72 mse_y:132.79 mse_u:38.52 mse_v:22.63 psnr_avg:28.19 psnr_y:26.90 psnr_u:32.27 psnr_v:34.58 
n:7 mse_avg:103.11 mse_y:139.42 mse_u:38.38 mse_v:22.57 psnr_avg:28.00 psnr_y:26.69 psnr_u:32.29 psnr_v:34.60 
n:8 mse_avg:106.86 mse_y:144.64 mse_u:39.29 mse_v:23.31 psnr_avg:27.84 psnr_y:26.53 psnr_u:32.19 psnr_v:34.45 
n:9 mse_avg:112.15 mse_y:152.31 mse_u:40.13 mse_v:23.52 psnr_avg:27.63 psnr_y:26.30 psnr_u:32.10 psnr_v:34.42 
n:10 mse_avg:116.81 mse_y:159.50 mse_u:39.32 mse_v:23.53 psnr_avg:27.46 psnr_y:26.10 psnr_u:32.18 psnr_v:34.42 
n:11 mse_avg:119.58 mse_y:163.43 mse_u:40.17 mse_v:23.56 psnr_avg:27.35 psnr_y:26.00 psnr_u:32.09 psnr_v:34.41 
n:12 mse_avg:123.79 mse_y:169.69 mse_u:40.33 mse_v:23.64 psnr_avg:27.20 psnr_y:25.83 psnr_u:32.07 psnr_v:34.39 
n:13 mse_avg:278.42 mse_y:396.68 mse_u:54.37 mse_v:29.42 psnr_avg:23.68 psnr_y:22.15 psnr_u:30.78 psnr_v:33.44 
n:14 mse_avg:336.62 mse_y:482.58 mse_u:57.90 mse_v:31.50 psnr_avg:22.86 psnr_y:21.30 psnr_u:30.50 psnr_v:33.15 
n:15 mse_avg:343.04 mse_y:492.01 mse_u:58.54 mse_v:31.62 psnr_avg:22.78 psnr_y:21.21 psnr_u:30.46 psnr_v:33.13 
n:16 mse_avg:344.61 mse_y:494.23 mse_u:58.97 mse_v:31.74 psnr_avg:22.76 psnr_y:21.19 psnr_u:30.42 psnr_v:33.11 
n:17 mse_avg:356.07 mse_y:511.20 mse_u:59.61 mse_v:32.01 psnr_avg:22.62 psnr_y:21.04 psnr_u:30.38 psnr_v:33.08 
