n:1 mse_avg:109.59 mse_y:145.43 mse_u:48.84 mse_v:26.94 psnr_avg:27.73 psnr_y:26.50 psnr_u:31.24 psnr_v:33.83 
n:2 mse_avg:116.24 mse_y:155.13 mse_u:49.96 mse_v:27.00 psnr_avg:27.48 psnr_y:26.22 psnr_u:31.14 psnr_v:33.82 
n:3 mse_avg:118.79 mse_y:158.83 mse_u:49.82 mse_v:27.57 psnr_avg:27.38 psnr_y:26.12 psnr_u:31.16 psnr_v:33.73 
n:4 mse_avg:124.75 mse_y:167.71 mse_u:50.43 mse_v:27.22 psnr_avg:27.17 psnr_y:25.89 psnr_u:31.10 psnr_v:33.78 
n:5 mse_avg:130.25 mse_y:175.73 mse_u:50.90 mse_v:27.71 psnr_avg:26.98 psnr_y:25.68 psnr_u:31.06 psnr_v:33.70 
n:6 mse_avg:132.03 mse_y:178.21 mse_u:51.29 mse_v:28.02 psnr_avg:26.92 psnr_y:25.62 psnr_u:31.03 psnr_v:33.66 
n:7 mse_avg:131.67 mse_y:178.06 mse_u:50.70 mse_v:27.07 psnr_avg:26.94 psnr_y:25.63 psnr_u:31.08 psnr_v:33.81 
n:8 mse_avg:288.88 mse_y:411.16 mse_u:58.03 mse_v:30.57 psnr_avg:23.52 psnr_y:21.99 psnr_u:30.49 psnr_v:33.28 
n:9 mse_avg:411.69 mse_y:592.59 mse_u:66.09 mse_v:33.65 psnr_avg:21.99 psnr_y:20.40 psnr_u:29.93 psnr_v:32.86 
n:10 mse_avg:423.09 mse_y:608.78 mse_u:68.91 mse_v:34.55 psnr_avg:21.87 psnr_y:20.29 psnr_u:29.75 psnr_v:32.75 
n:11 mse_avg:442.15 mse_y:637.77 mse_u:68.01 mse_v:33.81 psnr_avg:21.68 psnr_y:20.08 psnr_u:29.80 psnr_v:32.84 
n:12 mse_avg:447.13 mse_y:645.11 mse_u:68.19 mse_v:34.18 psnr_avg:21.63 psnr_y:20.03 psnr_u:29.79 psnr_v:32.79 
n:13 mse_avg:461.69 mse_y:667.12 mse_u:67.39 mse_v:34.29 psnr_avg:21.49 psnr_y:19.89 psnr_u:29.84 psnr_v:32.78 
n:14 mse_avg:460.55 mse_y:665.42 mse_u:67.16 mse_v:34.46 psnr_avg:21.50 psnr_y:19.90 psnr_u:29.86 psnr_v:32.76 
n:15 mse_avg:458.42 mse_y:661.55 mse_u:69.04 mse_v:35.32 psnr_avg:21.52 psnr_y:19.93 psnr_u:29.74 psnr_v:32.65 
n:16 mse_avg:453.77 mse_y:654.82 mse_u:68.07 mse_v:35.29 psnr_avg:21.56 psnr_y:19.97 psnr_u:29.80 psnr_v:32.65 
n:17 mse_avg:452.28 mse_y:652.24 mse_u:69.00 mse_v:35.77 psnr_avg:21.58 psnr_y:19.99 psnr_u:29.74 psnr_v:32.60 
n:18 mse_avg:443.55 mse_y:639.83 mse_u:66.51 mse_v:35.47 psnr_avg:21.66 psnr_y:20.07 psnr_u:29.90 psnr_v:32.63 
n:19 mse_avg:454.39 mse_y:656.14 mse_u:66.37 mse_v:35.40 psnr_avg:21.56 psnr_y:19.96 psnr_u:29.91 psnr_v:32.64 
