n:39 mse_avg:22.86 mse_y:23.72 mse_u:24.86 mse_v:17.39 psnr_avg:34.54 psnr_y:34.38 psnr_u:34.18 psnr_v:35.73 
n:40 mse_avg:23.25 mse_y:24.32 mse_u:24.93 mse_v:17.29 psnr_avg:34.47 psnr_y:34.27 psnr_u:34.16 psnr_v:35.75 
n:41 mse_avg:23.83 mse_y:24.92 mse_u:25.49 mse_v:17.77 psnr_avg:34.36 psnr_y:34.17 psnr_u:34.07 psnr_v:35.63 
n:42 mse_avg:24.10 mse_y:25.18 mse_u:25.94 mse_v:17.94 psnr_avg:34.31 psnr_y:34.12 psnr_u:33.99 psnr_v:35.59 
n:43 mse_avg:24.79 mse_y:26.04 mse_u:26.33 mse_v:18.26 psnr_avg:34.19 psnr_y:33.97 psnr_u:33.93 psnr_v:35.52 
n:44 mse_avg:25.63 mse_y:26.91 mse_u:27.35 mse_v:18.78 psnr_avg:34.04 psnr_y:33.83 psnr_u:33.76 psnr_v:35.39 
n:45 mse_avg:26.04 mse_y:27.48 mse_u:27.65 mse_v:18.68 psnr_avg:33.97 psnr_y:33.74 psnr_u:33.71 psnr_v:35.42 
n:46 mse_avg:26.55 mse_y:27.89 mse_u:28.55 mse_v:19.20 psnr_avg:33.89 psnr_y:33.68 psnr_u:33.57 psnr_v:35.30 
n:47 mse_avg:27.13 mse_y:28.70 mse_u:28.59 mse_v:19.38 psnr_avg:33.80 psnr_y:33.55 psnr_u:33.57 psnr_v:35.26 
n:48 mse_avg:27.28 mse_y:28.69 mse_u:29.38 mse_v:19.54 psnr_avg:33.77 psnr_y:33.55 psnr_u:33.45 psnr_v:35.22 
n:49 mse_avg:27.34 mse_y:28.87 mse_u:29.07 mse_v:19.49 psnr_avg:33.76 psnr_y:33.53 psnr_u:33.50 psnr_v:35.23 
n:50 mse_avg:27.56 mse_y:29.20 mse_u:29.23 mse_v:19.35 psnr_avg:33.73 psnr_y:33.48 psnr_u:33.47 psnr_v:35.26 
n:51 mse_avg:27.98 mse_y:29.78 mse_u:29.33 mse_v:19.45 psnr_avg:33.66 psnr_y:33.39 psnr_u:33.46 psnr_v:35.24 
