n:1 mse_avg:90.12 mse_y:117.98 mse_u:43.82 mse_v:24.97 psnr_avg:28.58 psnr_y:27.41 psnr_u:31.71 psnr_v:34.16 
n:2 mse_avg:94.40 mse_y:124.02 mse_u:45.33 mse_v:24.99 psnr_avg:28.38 psnr_y:27.20 psnr_u:31.57 psnr_v:34.15 
n:3 mse_avg:95.46 mse_y:125.48 mse_u:45.55 mse_v:25.30 psnr_avg:28.33 psnr_y:27.15 psnr_u:31.55 psnr_v:34.10 
n:4 mse_avg:98.18 mse_y:129.53 mse_u:45.81 mse_v:25.11 psnr_avg:28.21 psnr_y:27.01 psnr_u:31.52 psnr_v:34.13 
n:5 mse_avg:100.68 mse_y:133.06 mse_u:46.28 mse_v:25.56 psnr_avg:28.10 psnr_y:26.89 psnr_u:31.48 psnr_v:34.06 
n:6 mse_avg:102.58 mse_y:135.81 mse_u:46.92 mse_v:25.32 psnr_avg:28.02 psnr_y:26.80 psnr_u:31.42 psnr_v:34.10 
n:7 mse_avg:102.22 mse_y:135.40 mse_u:46.34 mse_v:25.40 psnr_avg:28.04 psnr_y:26.81 psnr_u:31.47 psnr_v:34.08 
n:8 mse_avg:201.48 mse_y:281.35 mse_u:54.06 mse_v:29.44 psnr_avg:25.09 psnr_y:23.64 psnr_u:30.80 psnr_v:33.44 
n:9 mse_avg:326.71 mse_y:467.68 mse_u:58.51 mse_v:31.03 psnr_avg:22.99 psnr_y:21.43 psnr_u:30.46 psnr_v:33.21 
n:10 mse_avg:336.88 mse_y:482.38 mse_u:59.33 mse_v:32.39 psnr_avg:22.86 psnr_y:21.30 psnr_u:30.40 psnr_v:33.03 
n:11 mse_avg:347.02 mse_y:497.51 mse_u:59.54 mse_v:32.50 psnr_avg:22.73 psnr_y:21.16 psnr_u:30.38 psnr_v:33.01 
n:12 mse_avg:356.45 mse_y:511.49 mse_u:61.06 mse_v:31.68 psnr_avg:22.61 psnr_y:21.04 psnr_u:30.27 psnr_v:33.12 
n:13 mse_avg:365.97 mse_y:525.70 mse_u:60.92 mse_v:32.11 psnr_avg:22.50 psnr_y:20.92 psnr_u:30.28 psnr_v:33.06 
n:14 mse_avg:371.25 mse_y:533.09 mse_u:61.51 mse_v:33.63 psnr_avg:22.43 psnr_y:20.86 psnr_u:30.24 psnr_v:32.86 
n:15 mse_avg:374.87 mse_y:538.61 mse_u:60.82 mse_v:33.99 psnr_avg:22.39 psnr_y:20.82 psnr_u:30.29 psnr_v:32.82 
