n:34 mse_avg:127.86 mse_y:171.16 mse_u:53.61 mse_v:28.91 psnr_avg:27.06 psnr_y:25.80 psnr_u:30.84 psnr_v:33.52 
n:35 mse_avg:126.86 mse_y:169.48 mse_u:53.78 mse_v:29.43 psnr_avg:27.10 psnr_y:25.84 psnr_u:30.82 psnr_v:33.44 
n:36 mse_avg:125.83 mse_y:167.88 mse_u:54.12 mse_v:29.34 psnr_avg:27.13 psnr_y:25.88 psnr_u:30.80 psnr_v:33.46 
n:37 mse_avg:126.84 mse_y:169.38 mse_u:54.03 mse_v:29.50 psnr_avg:27.10 psnr_y:25.84 psnr_u:30.80 psnr_v:33.43 
n:38 mse_avg:131.53 mse_y:176.23 mse_u:54.10 mse_v:30.15 psnr_avg:26.94 psnr_y:25.67 psnr_u:30.80 psnr_v:33.34 
n:39 mse_avg:128.65 mse_y:171.95 mse_u:54.22 mse_v:29.90 psnr_avg:27.04 psnr_y:25.78 psnr_u:30.79 psnr_v:33.37 
n:40 mse_avg:128.07 mse_y:171.11 mse_u:54.18 mse_v:29.78 psnr_avg:27.06 psnr_y:25.80 psnr_u:30.79 psnr_v:33.39 
n:41 mse_avg:128.13 mse_y:171.09 mse_u:54.64 mse_v:29.77 psnr_avg:27.05 psnr_y:25.80 psnr_u:30.76 psnr_v:33.39 
n:42 mse_avg:126.28 mse_y:168.26 mse_u:54.70 mse_v:29.93 psnr_avg:27.12 psnr_y:25.87 psnr_u:30.75 psnr_v:33.37 
n:43 mse_avg:128.78 mse_y:171.92 mse_u:55.06 mse_v:29.93 psnr_avg:27.03 psnr_y:25.78 psnr_u:30.72 psnr_v:33.37 
n:44 mse_avg:129.13 mse_y:172.27 mse_u:55.52 mse_v:30.19 psnr_avg:27.02 psnr_y:25.77 psnr_u:30.69 psnr_v:33.33 
n:45 mse_avg:131.33 mse_y:175.58 mse_u:55.50 mse_v:30.17 psnr_avg:26.95 psnr_y:25.69 psnr_u:30.69 psnr_v:33.33 
n:46 mse_avg:133.73 mse_y:179.06 mse_u:55.78 mse_v:30.34 psnr_avg:26.87 psnr_y:25.60 psnr_u:30.67 psnr_v:33.31 
n:47 mse_avg:133.45 mse_y:178.56 mse_u:56.07 mse_v:30.40 psnr_avg:26.88 psnr_y:25.61 psnr_u:30.64 psnr_v:33.30 
n:48 mse_avg:132.85 mse_y:177.66 mse_u:55.94 mse_v:30.54 psnr_avg:26.90 psnr_y:25.63 psnr_u:30.65 psnr_v:33.28 
n:49 mse_avg:134.27 mse_y:179.63 mse_u:56.56 mse_v:30.53 psnr_avg:26.85 psnr_y:25.59 psnr_u:30.61 psnr_v:33.28 
n:50 mse_avg:136.09 mse_y:182.39 mse_u:56.79 mse_v:30.18 psnr_avg:26.79 psnr_y:25.52 psnr_u:30.59 psnr_v:33.33 
n:51 mse_avg:139.10 mse_y:186.83 mse_u:57.06 mse_v:30.22 psnr_avg:26.70 psnr_y:25.42 psnr_u:30.57 psnr_v:33.33 
n:52 mse_avg:141.19 mse_y:190.13 mse_u:56.30 mse_v:30.32 psnr_avg:26.63 psnr_y:25.34 psnr_u:30.63 psnr_v:33.31 
n:53 mse_avg:143.32 mse_y:193.22 mse_u:56.91 mse_v:30.12 psnr_avg:26.57 psnr_y:25.27 psnr_u:30.58 psnr_v:33.34 
n:54 mse_avg:142.31 mse_y:191.72 mse_u:56.74 mse_v:30.21 psnr_avg:26.60 psnr_y:25.30 psnr_u:30.59 psnr_v:33.33 
n:55 mse_avg:144.58 mse_y:194.99 mse_u:57.23 mse_v:30.26 psnr_avg:26.53 psnr_y:25.23 psnr_u:30.55 psnr_v:33.32 
n:56 mse_avg:145.14 mse_y:195.63 mse_u:57.79 mse_v:30.50 psnr_avg:26.51 psnr_y:25.22 psnr_u:30.51 psnr_v:33.29 
n:57 mse_avg:143.75 mse_y:193.63 mse_u:57.48 mse_v:30.49 psnr_avg:26.55 psnr_y:25.26 psnr_u:30.54 psnr_v:33.29 
n:58 mse_avg:144.26 mse_y:194.30 mse_u:57.94 mse_v:30.41 psnr_avg:26.54 psnr_y:25.25 psnr_u:30.50 psnr_v:33.30 
n:59 mse_avg:148.26 mse_y:200.18 mse_u:58.17 mse_v:30.67 psnr_avg:26.42 psnr_y:25.12 psnr_u:30.48 psnr_v:33.26 
n:60 mse_avg:149.67 mse_y:202.08 mse_u:58.83 mse_v:30.88 psnr_avg:26.38 psnr_y:25.08 psnr_u:30.43 psnr_v:33.23 
n:61 mse_avg:148.12 mse_y:199.63 mse_u:59.09 mse_v:31.13 psnr_avg:26.42 psnr_y:25.13 psnr_u:30.42 psnr_v:33.20 
n:62 mse_avg:148.57 mse_y:199.91 mse_u:60.17 mse_v:31.61 psnr_avg:26.41 psnr_y:25.12 psnr_u:30.34 psnr_v:33.13 
n:63 mse_avg:148.87 mse_y:200.27 mse_u:60.27 mse_v:31.87 psnr_avg:26.40 psnr_y:25.11 psnr_u:30.33 psnr_v:33.10 
n:64 mse_avg:150.86 mse_y:202.82 mse_u:61.63 mse_v:32.26 psnr_avg:26.35 psnr_y:25.06 psnr_u:30.23 psnr_v:33.04 
n:65 mse_avg:154.43 mse_y:208.05 mse_u:61.93 mse_v:32.45 psnr_avg:26.24 psnr_y:24.95 psnr_u:30.21 psnr_v:33.02 
n:66 mse_avg:157.22 mse_y:212.34 mse_u:61.67 mse_v:32.27 psnr_avg:26.17 psnr_y:24.86 psnr_u:30.23 psnr_v:33.04 
n:67 mse_avg:159.63 mse_y:215.89 mse_u:61.54 mse_v:32.65 psnr_avg:26.10 psnr_y:24.79 psnr_u:30.24 psnr_v:32.99 
n:68 mse_avg:158.47 mse_y:214.07 mse_u:62.03 mse_v:32.54 psnr_avg:26.13 psnr_y:24.83 psnr_u:30.21 psnr_v:33.01 
n:69 mse_avg:153.04 mse_y:205.86 mse_u:62.56 mse_v:32.21 psnr_avg:26.28 psnr_y:25.00 psnr_u:30.17 psnr_v:33.05 
n:70 mse_avg:154.67 mse_y:208.01 mse_u:63.71 mse_v:32.28 psnr_avg:26.24 psnr_y:24.95 psnr_u:30.09 psnr_v:33.04 
n:71 mse_avg:159.22 mse_y:214.83 mse_u:63.21 mse_v:32.79 psnr_avg:26.11 psnr_y:24.81 psnr_u:30.12 psnr_v:32.97 
n:72 mse_avg:160.94 mse_y:217.31 mse_u:63.66 mse_v:32.75 psnr_avg:26.06 psnr_y:24.76 psnr_u:30.09 psnr_v:32.98 
n:73 mse_avg:162.79 mse_y:219.91 mse_u:64.49 mse_v:32.61 psnr_avg:26.01 psnr_y:24.71 psnr_u:30.04 psnr_v:33.00 
n:74 mse_avg:160.66 mse_y:216.44 mse_u:65.15 mse_v:33.03 psnr_avg:26.07 psnr_y:24.78 psnr_u:29.99 psnr_v:32.94 
n:75 mse_avg:168.05 mse_y:227.49 mse_u:65.43 mse_v:32.91 psnr_avg:25.88 psnr_y:24.56 psnr_u:29.97 psnr_v:32.96 
n:76 mse_avg:163.47 mse_y:220.45 mse_u:65.75 mse_v:33.29 psnr_avg:26.00 psnr_y:24.70 psnr_u:29.95 psnr_v:32.91 
n:77 mse_avg:162.46 mse_y:218.63 mse_u:67.01 mse_v:33.22 psnr_avg:26.02 psnr_y:24.73 psnr_u:29.87 psnr_v:32.92 
n:78 mse_avg:161.34 mse_y:216.82 mse_u:67.54 mse_v:33.24 psnr_avg:26.05 psnr_y:24.77 psnr_u:29.84 psnr_v:32.91 
n:79 mse_avg:158.39 mse_y:212.56 mse_u:66.76 mse_v:33.33 psnr_avg:26.13 psnr_y:24.86 psnr_u:29.89 psnr_v:32.90 
n:80 mse_avg:159.39 mse_y:213.91 mse_u:67.33 mse_v:33.36 psnr_avg:26.11 psnr_y:24.83 psnr_u:29.85 psnr_v:32.90 
n:81 mse_avg:158.11 mse_y:211.79 mse_u:68.20 mse_v:33.29 psnr_avg:26.14 psnr_y:24.87 psnr_u:29.79 psnr_v:32.91 
n:82 mse_avg:160.20 mse_y:214.87 mse_u:68.19 mse_v:33.57 psnr_avg:26.08 psnr_y:24.81 psnr_u:29.79 psnr_v:32.87 
