n:1 mse_avg:37.65 mse_y:44.90 mse_u:28.08 mse_v:18.18 psnr_avg:32.37 psnr_y:31.61 psnr_u:33.65 psnr_v:35.53 
n:2 mse_avg:41.79 mse_y:50.59 mse_u:29.65 mse_v:18.74 psnr_avg:31.92 psnr_y:31.09 psnr_u:33.41 psnr_v:35.40 
n:3 mse_avg:44.22 mse_y:53.92 mse_u:30.58 mse_v:19.07 psnr_avg:31.67 psnr_y:30.81 psnr_u:33.28 psnr_v:35.33 
n:4 mse_avg:47.61 mse_y:58.80 mse_u:31.08 mse_v:19.41 psnr_avg:31.35 psnr_y:30.44 psnr_u:33.21 psnr_v:35.25 
n:5 mse_avg:49.86 mse_y:61.83 mse_u:32.24 mse_v:19.63 psnr_avg:31.15 psnr_y:30.22 psnr_u:33.05 psnr_v:35.20 
n:6 mse_avg:52.70 mse_y:66.10 mse_u:32.30 mse_v:19.51 psnr_avg:30.91 psnr_y:29.93 psnr_u:33.04 psnr_v:35.23 
n:7 mse_avg:55.00 mse_y:69.29 mse_u:33.25 mse_v:19.60 psnr_avg:30.73 psnr_y:29.72 psnr_u:32.91 psnr_v:35.21 
n:8 mse_avg:57.81 mse_y:73.30 mse_u:33.59 mse_v:20.04 psnr_avg:30.51 psnr_y:29.48 psnr_u:32.87 psnr_v:35.11 
n:9 mse_avg:59.57 mse_y:75.99 mse_u:33.25 mse_v:20.21 psnr_avg:30.38 psnr_y:29.32 psnr_u:32.91 psnr_v:35.08 
n:10 mse_avg:62.31 mse_y:79.81 mse_u:34.01 mse_v:20.58 psnr_avg:30.19 psnr_y:29.11 psnr_u:32.82 psnr_v:35.00 
n:11 mse_avg:64.14 mse_y:82.44 mse_u:34.53 mse_v:20.56 psnr_avg:30.06 psnr_y:28.97 psnr_u:32.75 psnr_v:35.00 
n:12 mse_avg:66.63 mse_y:85.97 mse_u:35.39 mse_v:20.50 psnr_avg:29.89 psnr_y:28.79 psnr_u:32.64 psnr_v:35.01 
n:13 mse_avg:178.92 mse_y:251.08 mse_u:43.37 mse_v:25.82 psnr_avg:25.60 psnr_y:24.13 psnr_u:31.76 psnr_v:34.01 
n:14 mse_avg:228.31 mse_y:323.22 mse_u:48.89 mse_v:28.07 psnr_avg:24.55 psnr_y:23.04 psnr_u:31.24 psnr_v:33.65 
n:15 mse_avg:243.36 mse_y:345.06 mse_u:51.55 mse_v:28.37 psnr_avg:24.27 psnr_y:22.75 psnr_u:31.01 psnr_v:33.60 
n:16 mse_avg:255.59 mse_y:363.30 mse_u:51.15 mse_v:29.16 psnr_avg:24.06 psnr_y:22.53 psnr_u:31.04 psnr_v:33.48 
n:17 mse_avg:255.23 mse_y:362.28 mse_u:52.72 mse_v:29.58 psnr_avg:24.06 psnr_y:22.54 psnr_u:30.91 psnr_v:33.42 
n:18 mse_avg:262.27 mse_y:372.94 mse_u:52.77 mse_v:29.10 psnr_avg:23.94 psnr_y:22.41 psnr_u:30.91 psnr_v:33.49 
n:19 mse_avg:260.33 mse_y:369.88 mse_u:53.19 mse_v:29.23 psnr_avg:23.98 psnr_y:22.45 psnr_u:30.87 psnr_v:33.47 
n:20 mse_avg:268.76 mse_y:382.30 mse_u:53.13 mse_v:30.21 psnr_avg:23.84 psnr_y:22.31 psnr_u:30.88 psnr_v:33.33 
n:21 mse_avg:263.64 mse_y:374.77 mse_u:53.12 mse_v:29.59 psnr_avg:23.92 psnr_y:22.39 psnr_u:30.88 psnr_v:33.42 
n:22 mse_avg:267.24 mse_y:379.92 mse_u:53.98 mse_v:29.75 psnr_avg:23.86 psnr_y:22.33 psnr_u:30.81 psnr_v:33.40 
n:23 mse_avg:266.39 mse_y:378.56 mse_u:53.74 mse_v:30.38 psnr_avg:23.88 psnr_y:22.35 psnr_u:30.83 psnr_v:33.31 
