n:39 mse_avg:436.70 mse_y:629.00 mse_u:66.19 mse_v:38.03 psnr_avg:21.73 psnr_y:20.14 psnr_u:29.92 psnr_v:32.33 
n:40 mse_avg:426.67 mse_y:614.03 mse_u:65.51 mse_v:38.39 psnr_avg:21.83 psnr_y:20.25 psnr_u:29.97 psnr_v:32.29 
n:41 mse_avg:442.88 mse_y:638.33 mse_u:65.89 mse_v:38.06 psnr_avg:21.67 psnr_y:20.08 psnr_u:29.94 psnr_v:32.33 
n:42 mse_avg:424.81 mse_y:611.21 mse_u:65.27 mse_v:38.77 psnr_avg:21.85 psnr_y:20.27 psnr_u:29.98 psnr_v:32.25 
n:43 mse_avg:445.40 mse_y:641.87 mse_u:66.51 mse_v:38.42 psnr_avg:21.64 psnr_y:20.06 psnr_u:29.90 psnr_v:32.29 
n:44 mse_avg:445.82 mse_y:642.21 mse_u:67.09 mse_v:38.99 psnr_avg:21.64 psnr_y:20.05 psnr_u:29.86 psnr_v:32.22 
n:45 mse_avg:451.06 mse_y:650.25 mse_u:66.80 mse_v:38.55 psnr_avg:21.59 psnr_y:20.00 psnr_u:29.88 psnr_v:32.27 
n:46 mse_avg:445.55 mse_y:641.85 mse_u:67.01 mse_v:38.92 psnr_avg:21.64 psnr_y:20.06 psnr_u:29.87 psnr_v:32.23 
n:47 mse_avg:461.47 mse_y:665.56 mse_u:67.57 mse_v:39.03 psnr_avg:21.49 psnr_y:19.90 psnr_u:29.83 psnr_v:32.22 
n:48 mse_avg:446.81 mse_y:643.73 mse_u:67.17 mse_v:38.75 psnr_avg:21.63 psnr_y:20.04 psnr_u:29.86 psnr_v:32.25 
n:49 mse_avg:445.57 mse_y:641.79 mse_u:67.42 mse_v:38.86 psnr_avg:21.64 psnr_y:20.06 psnr_u:29.84 psnr_v:32.24 
n:50 mse_avg:450.83 mse_y:649.57 mse_u:67.72 mse_v:38.95 psnr_avg:21.59 psnr_y:20.00 psnr_u:29.82 psnr_v:32.23 
