n:1 mse_avg:75.33 mse_y:98.29 mse_u:37.72 mse_v:21.11 psnr_avg:29.36 psnr_y:28.21 psnr_u:32.36 psnr_v:34.89 
n:2 mse_avg:80.94 mse_y:105.46 mse_u:41.34 mse_v:22.48 psnr_avg:29.05 psnr_y:27.90 psnr_u:31.97 psnr_v:34.61 
n:3 mse_avg:79.57 mse_y:103.60 mse_u:40.53 mse_v:22.48 psnr_avg:29.12 psnr_y:27.98 psnr_u:32.05 psnr_v:34.61 
n:4 mse_avg:80.39 mse_y:104.55 mse_u:41.49 mse_v:22.65 psnr_avg:29.08 psnr_y:27.94 psnr_u:31.95 psnr_v:34.58 
n:5 mse_avg:80.03 mse_y:103.93 mse_u:41.71 mse_v:22.76 psnr_avg:29.10 psnr_y:27.96 psnr_u:31.93 psnr_v:34.56 
n:6 mse_avg:80.57 mse_y:104.80 mse_u:41.59 mse_v:22.64 psnr_avg:29.07 psnr_y:27.93 psnr_u:31.94 psnr_v:34.58 
n:7 mse_avg:79.54 mse_y:103.54 mse_u:40.84 mse_v:22.25 psnr_avg:29.12 psnr_y:27.98 psnr_u:32.02 psnr_v:34.66 
n:8 mse_avg:87.07 mse_y:113.98 mse_u:43.46 mse_v:23.05 psnr_avg:28.73 psnr_y:27.56 psnr_u:31.75 psnr_v:34.50 
n:9 mse_avg:93.53 mse_y:123.40 mse_u:44.39 mse_v:23.20 psnr_avg:28.42 psnr_y:27.22 psnr_u:31.66 psnr_v:34.48 
n:10 mse_avg:94.52 mse_y:124.77 mse_u:44.61 mse_v:23.45 psnr_avg:28.38 psnr_y:27.17 psnr_u:31.64 psnr_v:34.43 
n:11 mse_avg:95.42 mse_y:125.81 mse_u:45.59 mse_v:23.67 psnr_avg:28.33 psnr_y:27.13 psnr_u:31.54 psnr_v:34.39 
n:12 mse_avg:96.02 mse_y:126.71 mse_u:45.63 mse_v:23.67 psnr_avg:28.31 psnr_y:27.10 psnr_u:31.54 psnr_v:34.39 
n:13 mse_avg:96.38 mse_y:127.08 mse_u:45.98 mse_v:23.99 psnr_avg:28.29 psnr_y:27.09 psnr_u:31.50 psnr_v:34.33 
n:14 mse_avg:98.28 mse_y:129.80 mse_u:46.04 mse_v:24.49 psnr_avg:28.21 psnr_y:27.00 psnr_u:31.50 psnr_v:34.24 
n:15 mse_avg:96.53 mse_y:127.03 mse_u:46.60 mse_v:24.48 psnr_avg:28.28 psnr_y:27.09 psnr_u:31.45 psnr_v:34.24 
n:16 mse_avg:93.66 mse_y:122.82 mse_u:46.18 mse_v:24.51 psnr_avg:28.42 psnr_y:27.24 psnr_u:31.49 psnr_v:34.24 
n:17 mse_avg:91.44 mse_y:119.60 mse_u:45.49 mse_v:24.76 psnr_avg:28.52 psnr_y:27.35 psnr_u:31.55 psnr_v:34.19 
n:18 mse_avg:89.67 mse_y:117.32 mse_u:44.49 mse_v:24.25 psnr_avg:28.60 psnr_y:27.44 psnr_u:31.65 psnr_v:34.28 
n:19 mse_avg:89.88 mse_y:117.58 mse_u:44.41 mse_v:24.57 psnr_avg:28.59 psnr_y:27.43 psnr_u:31.66 psnr_v:34.23 
n:20 mse_avg:90.38 mse_y:118.42 mse_u:43.98 mse_v:24.59 psnr_avg:28.57 psnr_y:27.40 psnr_u:31.70 psnr_v:34.22 
n:21 mse_avg:90.33 mse_y:118.53 mse_u:43.42 mse_v:24.44 psnr_avg:28.57 psnr_y:27.39 psnr_u:31.75 psnr_v:34.25 
n:22 mse_avg:88.98 mse_y:116.39 mse_u:43.80 mse_v:24.50 psnr_avg:28.64 psnr_y:27.47 psnr_u:31.72 psnr_v:34.24 
n:23 mse_avg:89.16 mse_y:116.65 mse_u:43.55 mse_v:24.82 psnr_avg:28.63 psnr_y:27.46 psnr_u:31.74 psnr_v:34.18 
n:24 mse_avg:88.25 mse_y:115.21 mse_u:44.18 mse_v:24.52 psnr_avg:28.67 psnr_y:27.52 psnr_u:31.68 psnr_v:34.23 
n:25 mse_avg:89.73 mse_y:117.46 mse_u:43.96 mse_v:24.56 psnr_avg:28.60 psnr_y:27.43 psnr_u:31.70 psnr_v:34.23 
n:26 mse_avg:91.65 mse_y:120.25 mse_u:44.14 mse_v:24.75 psnr_avg:28.51 psnr_y:27.33 psnr_u:31.68 psnr_v:34.20 
n:27 mse_avg:93.59 mse_y:122.87 mse_u:44.87 mse_v:25.16 psnr_avg:28.42 psnr_y:27.24 psnr_u:31.61 psnr_v:34.12 
n:28 mse_avg:94.75 mse_y:124.59 mse_u:44.84 mse_v:25.27 psnr_avg:28.37 psnr_y:27.18 psnr_u:31.61 psnr_v:34.11 
n:29 mse_avg:95.00 mse_y:124.89 mse_u:45.18 mse_v:25.29 psnr_avg:28.35 psnr_y:27.17 psnr_u:31.58 psnr_v:34.10 
n:30 mse_avg:95.47 mse_y:125.37 mse_u:45.85 mse_v:25.50 psnr_avg:28.33 psnr_y:27.15 psnr_u:31.52 psnr_v:34.06 
n:31 mse_avg:96.53 mse_y:126.90 mse_u:45.79 mse_v:25.78 psnr_avg:28.28 psnr_y:27.10 psnr_u:31.52 psnr_v:34.02 
n:32 mse_avg:96.89 mse_y:127.58 mse_u:45.33 mse_v:25.73 psnr_avg:28.27 psnr_y:27.07 psnr_u:31.57 psnr_v:34.03 
n:33 mse_avg:96.27 mse_y:126.39 mse_u:46.01 mse_v:26.08 psnr_avg:28.30 psnr_y:27.11 psnr_u:31.50 psnr_v:33.97 
