n:1 mse_avg:77.80 mse_y:101.97 mse_u:37.36 mse_v:21.57 psnr_avg:29.22 psnr_y:28.05 psnr_u:32.41 psnr_v:34.79 
n:2 mse_avg:80.98 mse_y:106.37 mse_u:38.44 mse_v:21.96 psnr_avg:29.05 psnr_y:27.86 psnr_u:32.28 psnr_v:34.71 
n:3 mse_avg:80.04 mse_y:105.00 mse_u:38.20 mse_v:22.07 psnr_avg:29.10 psnr_y:27.92 psnr_u:32.31 psnr_v:34.69 
n:4 mse_avg:82.40 mse_y:108.37 mse_u:38.75 mse_v:22.15 psnr_avg:28.97 psnr_y:27.78 psnr_u:32.25 psnr_v:34.68 
n:5 mse_avg:83.17 mse_y:109.37 mse_u:38.90 mse_v:22.65 psnr_avg:28.93 psnr_y:27.74 psnr_u:32.23 psnr_v:34.58 
n:6 mse_avg:83.05 mse_y:109.10 mse_u:39.58 mse_v:22.32 psnr_avg:28.94 psnr_y:27.75 psnr_u:32.16 psnr_v:34.64 
n:7 mse_avg:83.35 mse_y:109.68 mse_u:39.42 mse_v:21.97 psnr_avg:28.92 psnr_y:27.73 psnr_u:32.17 psnr_v:34.71 
n:8 mse_avg:135.26 mse_y:183.28 mse_u:51.15 mse_v:27.32 psnr_avg:26.82 psnr_y:25.50 psnr_u:31.04 psnr_v:33.77 
n:9 mse_avg:201.74 mse_y:281.41 mse_u:55.18 mse_v:29.59 psnr_avg:25.08 psnr_y:23.64 psnr_u:30.71 psnr_v:33.42 
n:10 mse_avg:219.40 mse_y:307.83 mse_u:55.70 mse_v:29.38 psnr_avg:24.72 psnr_y:23.25 psnr_u:30.67 psnr_v:33.45 
n:11 mse_avg:231.75 mse_y:326.18 mse_u:55.61 mse_v:30.15 psnr_avg:24.48 psnr_y:23.00 psnr_u:30.68 psnr_v:33.34 
n:12 mse_avg:239.69 mse_y:338.20 mse_u:55.75 mse_v:29.61 psnr_avg:24.33 psnr_y:22.84 psnr_u:30.67 psnr_v:33.42 
n:13 mse_avg:244.83 mse_y:345.85 mse_u:56.03 mse_v:29.52 psnr_avg:24.24 psnr_y:22.74 psnr_u:30.65 psnr_v:33.43 
n:14 mse_avg:257.82 mse_y:364.83 mse_u:56.76 mse_v:30.80 psnr_avg:24.02 psnr_y:22.51 psnr_u:30.59 psnr_v:33.25 
n:15 mse_avg:258.75 mse_y:366.36 mse_u:56.46 mse_v:30.59 psnr_avg:24.00 psnr_y:22.49 psnr_u:30.61 psnr_v:33.27 
n:16 mse_avg:259.48 mse_y:367.54 mse_u:56.03 mse_v:30.71 psnr_avg:23.99 psnr_y:22.48 psnr_u:30.65 psnr_v:33.26 
n:17 mse_avg:260.33 mse_y:368.97 mse_u:55.12 mse_v:30.97 psnr_avg:23.98 psnr_y:22.46 psnr_u:30.72 psnr_v:33.22 
n:18 mse_avg:255.75 mse_y:362.04 mse_u:55.99 mse_v:30.36 psnr_avg:24.05 psnr_y:22.54 psnr_u:30.65 psnr_v:33.31 
n:19 mse_avg:258.92 mse_y:366.57 mse_u:56.55 mse_v:30.69 psnr_avg:24.00 psnr_y:22.49 psnr_u:30.61 psnr_v:33.26 
n:20 mse_avg:259.16 mse_y:366.82 mse_u:56.52 mse_v:31.11 psnr_avg:24.00 psnr_y:22.49 psnr_u:30.61 psnr_v:33.20 
n:21 mse_avg:257.62 mse_y:364.48 mse_u:57.13 mse_v:30.65 psnr_avg:24.02 psnr_y:22.51 psnr_u:30.56 psnr_v:33.27 
n:22 mse_avg:255.16 mse_y:360.81 mse_u:56.90 mse_v:30.82 psnr_avg:24.06 psnr_y:22.56 psnr_u:30.58 psnr_v:33.24 
n:23 mse_avg:259.26 mse_y:366.59 mse_u:57.42 mse_v:31.80 psnr_avg:23.99 psnr_y:22.49 psnr_u:30.54 psnr_v:33.11 
n:24 mse_avg:254.29 mse_y:359.22 mse_u:57.20 mse_v:31.69 psnr_avg:24.08 psnr_y:22.58 psnr_u:30.56 psnr_v:33.12 
n:25 mse_avg:256.04 mse_y:361.87 mse_u:57.65 mse_v:31.11 psnr_avg:24.05 psnr_y:22.55 psnr_u:30.52 psnr_v:33.20 
n:26 mse_avg:262.33 mse_y:371.32 mse_u:57.08 mse_v:31.61 psnr_avg:23.94 psnr_y:22.43 psnr_u:30.57 psnr_v:33.13 
n:27 mse_avg:263.52 mse_y:373.18 mse_u:56.93 mse_v:31.47 psnr_avg:23.92 psnr_y:22.41 psnr_u:30.58 psnr_v:33.15 
n:28 mse_avg:264.02 mse_y:373.91 mse_u:56.15 mse_v:32.32 psnr_avg:23.91 psnr_y:22.40 psnr_u:30.64 psnr_v:33.04 
n:29 mse_avg:261.40 mse_y:369.64 mse_u:57.90 mse_v:31.96 psnr_avg:23.96 psnr_y:22.45 psnr_u:30.50 psnr_v:33.09 
