n:1 mse_avg:77.96 mse_y:101.38 mse_u:39.79 mse_v:22.45 psnr_avg:29.21 psnr_y:28.07 psnr_u:32.13 psnr_v:34.62 
n:2 mse_avg:84.53 mse_y:110.24 mse_u:42.78 mse_v:23.44 psnr_avg:28.86 psnr_y:27.71 psnr_u:31.82 psnr_v:34.43 
n:3 mse_avg:83.90 mse_y:109.31 mse_u:42.66 mse_v:23.50 psnr_avg:28.89 psnr_y:27.74 psnr_u:31.83 psnr_v:34.42 
n:4 mse_avg:84.20 mse_y:109.56 mse_u:43.36 mse_v:23.58 psnr_avg:28.88 psnr_y:27.73 psnr_u:31.76 psnr_v:34.41 
n:5 mse_avg:83.88 mse_y:108.84 mse_u:44.06 mse_v:23.85 psnr_avg:28.89 psnr_y:27.76 psnr_u:31.69 psnr_v:34.36 
n:6 mse_avg:83.68 mse_y:108.75 mse_u:43.41 mse_v:23.62 psnr_avg:28.90 psnr_y:27.77 psnr_u:31.75 psnr_v:34.40 
n:7 mse_avg:83.09 mse_y:107.98 mse_u:43.28 mse_v:23.34 psnr_avg:28.94 psnr_y:27.80 psnr_u:31.77 psnr_v:34.45 
n:8 mse_avg:91.75 mse_y:120.40 mse_u:45.00 mse_v:23.90 psnr_avg:28.50 psnr_y:27.32 psnr_u:31.60 psnr_v:34.35 
n:9 mse_avg:97.83 mse_y:129.20 mse_u:46.16 mse_v:24.02 psnr_avg:28.23 psnr_y:27.02 psnr_u:31.49 psnr_v:34.32 
n:10 mse_avg:99.95 mse_y:132.28 mse_u:46.36 mse_v:24.23 psnr_avg:28.13 psnr_y:26.92 psnr_u:31.47 psnr_v:34.29 
n:11 mse_avg:100.72 mse_y:133.20 mse_u:47.16 mse_v:24.34 psnr_avg:28.10 psnr_y:26.89 psnr_u:31.40 psnr_v:34.27 
n:12 mse_avg:101.24 mse_y:133.92 mse_u:47.36 mse_v:24.44 psnr_avg:28.08 psnr_y:26.86 psnr_u:31.38 psnr_v:34.25 
n:13 mse_avg:101.79 mse_y:134.75 mse_u:47.12 mse_v:24.63 psnr_avg:28.05 psnr_y:26.84 psnr_u:31.40 psnr_v:34.22 
n:14 mse_avg:103.13 mse_y:136.55 mse_u:47.41 mse_v:25.13 psnr_avg:28.00 psnr_y:26.78 psnr_u:31.37 psnr_v:34.13 
n:15 mse_avg:101.26 mse_y:133.54 mse_u:48.19 mse_v:25.23 psnr_avg:28.08 psnr_y:26.87 psnr_u:31.30 psnr_v:34.11 
n:16 mse_avg:97.17 mse_y:127.74 mse_u:47.04 mse_v:24.99 psnr_avg:28.26 psnr_y:27.07 psnr_u:31.41 psnr_v:34.15 
n:17 mse_avg:94.82 mse_y:124.34 mse_u:46.44 mse_v:25.08 psnr_avg:28.36 psnr_y:27.18 psnr_u:31.46 psnr_v:34.14 
n:18 mse_avg:92.98 mse_y:121.84 mse_u:45.71 mse_v:24.82 psnr_avg:28.45 psnr_y:27.27 psnr_u:31.53 psnr_v:34.18 
n:19 mse_avg:92.57 mse_y:121.17 mse_u:45.68 mse_v:25.09 psnr_avg:28.47 psnr_y:27.30 psnr_u:31.53 psnr_v:34.14 
n:20 mse_avg:93.73 mse_y:123.00 mse_u:45.24 mse_v:25.12 psnr_avg:28.41 psnr_y:27.23 psnr_u:31.58 psnr_v:34.13 
n:21 mse_avg:92.59 mse_y:121.38 mse_u:44.88 mse_v:25.12 psnr_avg:28.47 psnr_y:27.29 psnr_u:31.61 psnr_v:34.13 
n:22 mse_avg:91.77 mse_y:120.08 mse_u:45.12 mse_v:25.14 psnr_avg:28.50 psnr_y:27.34 psnr_u:31.59 psnr_v:34.13 
n:23 mse_avg:91.39 mse_y:119.43 mse_u:45.12 mse_v:25.51 psnr_avg:28.52 psnr_y:27.36 psnr_u:31.59 psnr_v:34.06 
n:24 mse_avg:90.80 mse_y:118.40 mse_u:46.06 mse_v:25.13 psnr_avg:28.55 psnr_y:27.40 psnr_u:31.50 psnr_v:34.13 
n:25 mse_avg:92.40 mse_y:120.93 mse_u:45.54 mse_v:25.14 psnr_avg:28.47 psnr_y:27.31 psnr_u:31.55 psnr_v:34.13 
n:26 mse_avg:94.48 mse_y:123.85 mse_u:45.94 mse_v:25.53 psnr_avg:28.38 psnr_y:27.20 psnr_u:31.51 psnr_v:34.06 
n:27 mse_avg:96.39 mse_y:126.60 mse_u:46.06 mse_v:25.86 psnr_avg:28.29 psnr_y:27.11 psnr_u:31.50 psnr_v:34.00 
n:28 mse_avg:97.64 mse_y:128.37 mse_u:46.39 mse_v:25.97 psnr_avg:28.23 psnr_y:27.05 psnr_u:31.47 psnr_v:33.99 
