n:1 mse_avg:45.23 mse_y:55.32 mse_u:30.45 mse_v:19.69 psnr_avg:31.58 psnr_y:30.70 psnr_u:33.29 psnr_v:35.19 
n:2 mse_avg:51.25 mse_y:63.99 mse_u:31.69 mse_v:19.89 psnr_avg:31.03 psnr_y:30.07 psnr_u:33.12 psnr_v:35.15 
n:3 mse_avg:53.61 mse_y:67.26 mse_u:32.66 mse_v:19.95 psnr_avg:30.84 psnr_y:29.85 psnr_u:32.99 psnr_v:35.13 
n:4 mse_avg:56.22 mse_y:70.99 mse_u:33.11 mse_v:20.20 psnr_avg:30.63 psnr_y:29.62 psnr_u:32.93 psnr_v:35.08 
n:5 mse_avg:59.93 mse_y:76.20 mse_u:34.10 mse_v:20.64 psnr_avg:30.35 psnr_y:29.31 psnr_u:32.80 psnr_v:34.98 
n:6 mse_avg:63.31 mse_y:81.14 mse_u:34.66 mse_v:20.64 psnr_avg:30.12 psnr_y:29.04 psnr_u:32.73 psnr_v:34.98 
n:7 mse_avg:64.95 mse_y:83.58 mse_u:34.89 mse_v:20.51 psnr_avg:30.00 psnr_y:28.91 psnr_u:32.70 psnr_v:35.01 
n:8 mse_avg:68.00 mse_y:88.01 mse_u:35.16 mse_v:20.78 psnr_avg:29.81 psnr_y:28.69 psnr_u:32.67 psnr_v:34.95 
n:9 mse_avg:70.51 mse_y:91.60 mse_u:35.36 mse_v:21.32 psnr_avg:29.65 psnr_y:28.51 psnr_u:32.65 psnr_v:34.84 
n:10 mse_avg:74.30 mse_y:97.11 mse_u:35.96 mse_v:21.40 psnr_avg:29.42 psnr_y:28.26 psnr_u:32.57 psnr_v:34.83 
n:11 mse_avg:76.30 mse_y:99.98 mse_u:36.50 mse_v:21.39 psnr_avg:29.31 psnr_y:28.13 psnr_u:32.51 psnr_v:34.83 
n:12 mse_avg:78.56 mse_y:103.14 mse_u:37.38 mse_v:21.41 psnr_avg:29.18 psnr_y:28.00 psnr_u:32.40 psnr_v:34.82 
n:13 mse_avg:197.65 mse_y:278.73 mse_u:44.86 mse_v:26.11 psnr_avg:25.17 psnr_y:23.68 psnr_u:31.61 psnr_v:33.96 
n:14 mse_avg:263.64 mse_y:375.03 mse_u:52.57 mse_v:29.18 psnr_avg:23.92 psnr_y:22.39 psnr_u:30.92 psnr_v:33.48 
n:15 mse_avg:280.13 mse_y:399.12 mse_u:54.59 mse_v:29.69 psnr_avg:23.66 psnr_y:22.12 psnr_u:30.76 psnr_v:33.41 
n:16 mse_avg:284.74 mse_y:406.01 mse_u:54.28 mse_v:30.13 psnr_avg:23.59 psnr_y:22.05 psnr_u:30.78 psnr_v:33.34 
n:17 mse_avg:286.11 mse_y:407.73 mse_u:55.19 mse_v:30.57 psnr_avg:23.57 psnr_y:22.03 psnr_u:30.71 psnr_v:33.28 
n:18 mse_avg:292.35 mse_y:417.29 mse_u:55.04 mse_v:29.92 psnr_avg:23.47 psnr_y:21.93 psnr_u:30.72 psnr_v:33.37 
n:19 mse_avg:300.14 mse_y:428.86 mse_u:55.01 mse_v:30.41 psnr_avg:23.36 psnr_y:21.81 psnr_u:30.73 psnr_v:33.30 
n:20 mse_avg:302.89 mse_y:432.78 mse_u:55.46 mse_v:30.79 psnr_avg:23.32 psnr_y:21.77 psnr_u:30.69 psnr_v:33.25 
