n:1 mse_avg:13.14 mse_y:14.18 mse_u:12.19 mse_v:9.96 psnr_avg:36.94 psnr_y:36.62 psnr_u:37.27 psnr_v:38.15 
n:2 mse_avg:17.37 mse_y:18.15 mse_u:18.58 mse_v:13.03 psnr_avg:35.73 psnr_y:35.54 psnr_u:35.44 psnr_v:36.98 
n:3 mse_avg:17.53 mse_y:18.24 mse_u:18.97 mse_v:13.23 psnr_avg:35.69 psnr_y:35.52 psnr_u:35.35 psnr_v:36.91 
n:4 mse_avg:18.03 mse_y:18.64 mse_u:20.01 mse_v:13.63 psnr_avg:35.57 psnr_y:35.43 psnr_u:35.12 psnr_v:36.79 
n:5 mse_avg:18.26 mse_y:18.64 mse_u:20.83 mse_v:14.18 psnr_avg:35.52 psnr_y:35.43 psnr_u:34.94 psnr_v:36.62 
n:6 mse_avg:18.82 mse_y:19.30 mse_u:21.32 mse_v:14.40 psnr_avg:35.38 psnr_y:35.28 psnr_u:34.84 psnr_v:36.55 
n:7 mse_avg:18.70 mse_y:19.26 mse_u:20.79 mse_v:14.37 psnr_avg:35.41 psnr_y:35.28 psnr_u:34.95 psnr_v:36.56 
n:8 mse_avg:18.88 mse_y:19.41 mse_u:21.13 mse_v:14.52 psnr_avg:35.37 psnr_y:35.25 psnr_u:34.88 psnr_v:36.51 
n:9 mse_avg:19.02 mse_y:19.64 mse_u:21.06 mse_v:14.49 psnr_avg:35.34 psnr_y:35.20 psnr_u:34.90 psnr_v:36.52 
n:10 mse_avg:19.24 mse_y:19.87 mse_u:21.25 mse_v:14.72 psnr_avg:35.29 psnr_y:35.15 psnr_u:34.86 psnr_v:36.45 
n:11 mse_avg:19.32 mse_y:19.93 mse_u:21.35 mse_v:14.84 psnr_avg:35.27 psnr_y:35.14 psnr_u:34.84 psnr_v:36.42 
n:12 mse_avg:19.57 mse_y:20.32 mse_u:21.34 mse_v:14.83 psnr_avg:35.21 psnr_y:35.05 psnr_u:34.84 psnr_v:36.42 
n:13 mse_avg:27.60 mse_y:31.22 mse_u:24.94 mse_v:15.79 psnr_avg:33.72 psnr_y:33.19 psnr_u:34.16 psnr_v:36.15 
n:14 mse_avg:33.37 mse_y:38.87 mse_u:27.77 mse_v:16.96 psnr_avg:32.90 psnr_y:32.23 psnr_u:33.69 psnr_v:35.84 
n:15 mse_avg:34.99 mse_y:40.78 mse_u:29.52 mse_v:17.29 psnr_avg:32.69 psnr_y:32.03 psnr_u:33.43 psnr_v:35.75 
n:16 mse_avg:34.70 mse_y:40.11 mse_u:30.31 mse_v:17.45 psnr_avg:32.73 psnr_y:32.10 psnr_u:33.31 psnr_v:35.71 
n:17 mse_avg:34.44 mse_y:39.38 mse_u:31.07 mse_v:18.06 psnr_avg:32.76 psnr_y:32.18 psnr_u:33.21 psnr_v:35.56 
n:18 mse_avg:33.40 mse_y:37.75 mse_u:31.38 mse_v:18.02 psnr_avg:32.89 psnr_y:32.36 psnr_u:33.16 psnr_v:35.57 
n:19 mse_avg:32.88 mse_y:36.74 mse_u:31.75 mse_v:18.56 psnr_avg:32.96 psnr_y:32.48 psnr_u:33.11 psnr_v:35.44 
n:20 mse_avg:32.17 mse_y:35.73 mse_u:31.06 mse_v:19.04 psnr_avg:33.06 psnr_y:32.60 psnr_u:33.21 psnr_v:35.33 
n:21 mse_avg:31.11 mse_y:34.31 mse_u:30.55 mse_v:18.86 psnr_avg:33.20 psnr_y:32.78 psnr_u:33.28 psnr_v:35.38 
n:22 mse_avg:29.88 mse_y:32.56 mse_u:30.24 mse_v:18.79 psnr_avg:33.38 psnr_y:33.00 psnr_u:33.32 psnr_v:35.39 
n:23 mse_avg:29.25 mse_y:31.78 mse_u:29.40 mse_v:18.96 psnr_avg:33.47 psnr_y:33.11 psnr_u:33.45 psnr_v:35.35 
n:24 mse_avg:28.12 mse_y:30.37 mse_u:28.60 mse_v:18.61 psnr_avg:33.64 psnr_y:33.31 psnr_u:33.57 psnr_v:35.43 
n:25 mse_avg:26.74 mse_y:28.75 mse_u:27.41 mse_v:17.99 psnr_avg:33.86 psnr_y:33.54 psnr_u:33.75 psnr_v:35.58 
n:26 mse_avg:25.25 mse_y:27.07 mse_u:25.36 mse_v:17.86 psnr_avg:34.11 psnr_y:33.81 psnr_u:34.09 psnr_v:35.61 
n:27 mse_avg:24.31 mse_y:25.84 mse_u:24.99 mse_v:17.55 psnr_avg:34.27 psnr_y:34.01 psnr_u:34.15 psnr_v:35.69 
n:28 mse_avg:23.06 mse_y:24.33 mse_u:23.78 mse_v:17.28 psnr_avg:34.50 psnr_y:34.27 psnr_u:34.37 psnr_v:35.76 
n:29 mse_avg:21.84 mse_y:22.90 mse_u:22.63 mse_v:16.83 psnr_avg:34.74 psnr_y:34.53 psnr_u:34.58 psnr_v:35.87 
n:30 mse_avg:20.90 mse_y:21.86 mse_u:21.83 mse_v:16.09 psnr_avg:34.93 psnr_y:34.73 psnr_u:34.74 psnr_v:36.06 
n:31 mse_avg:20.47 mse_y:21.37 mse_u:21.32 mse_v:16.01 psnr_avg:35.02 psnr_y:34.83 psnr_u:34.84 psnr_v:36.09 
n:32 mse_avg:19.58 mse_y:20.33 mse_u:20.67 mse_v:15.50 psnr_avg:35.21 psnr_y:35.05 psnr_u:34.98 psnr_v:36.23 
n:33 mse_avg:19.52 mse_y:20.29 mse_u:20.49 mse_v:15.45 psnr_avg:35.23 psnr_y:35.06 psnr_u:35.02 psnr_v:36.24 
n:34 mse_avg:19.56 mse_y:20.28 mse_u:20.87 mse_v:15.37 psnr_avg:35.22 psnr_y:35.06 psnr_u:34.93 psnr_v:36.26 
n:35 mse_avg:19.32 mse_y:19.88 mse_u:20.73 mse_v:15.69 psnr_avg:35.27 psnr_y:35.15 psnr_u:34.97 psnr_v:36.17 
n:36 mse_avg:19.30 mse_y:19.81 mse_u:21.17 mse_v:15.39 psnr_avg:35.28 psnr_y:35.16 psnr_u:34.87 psnr_v:36.26 
