n:39 mse_avg:95.16 mse_y:125.14 mse_u:44.93 mse_v:25.48 psnr_avg:28.35 psnr_y:27.16 psnr_u:31.61 psnr_v:34.07 
n:40 mse_avg:95.55 mse_y:125.75 mse_u:44.84 mse_v:25.49 psnr_avg:28.33 psnr_y:27.14 psnr_u:31.61 psnr_v:34.07 
n:41 mse_avg:94.80 mse_y:124.60 mse_u:44.83 mse_v:25.57 psnr_avg:28.36 psnr_y:27.18 psnr_u:31.61 psnr_v:34.05 
n:42 mse_avg:94.65 mse_y:124.14 mse_u:45.60 mse_v:25.75 psnr_avg:28.37 psnr_y:27.19 psnr_u:31.54 psnr_v:34.02 
n:43 mse_avg:96.59 mse_y:127.02 mse_u:45.72 mse_v:25.70 psnr_avg:28.28 psnr_y:27.09 psnr_u:31.53 psnr_v:34.03 
n:44 mse_avg:96.02 mse_y:126.07 mse_u:45.85 mse_v:26.01 psnr_avg:28.31 psnr_y:27.12 psnr_u:31.52 psnr_v:33.98 
n:45 mse_avg:98.20 mse_y:129.18 mse_u:46.37 mse_v:26.07 psnr_avg:28.21 psnr_y:27.02 psnr_u:31.47 psnr_v:33.97 
n:46 mse_avg:98.76 mse_y:130.01 mse_u:46.27 mse_v:26.23 psnr_avg:28.19 psnr_y:26.99 psnr_u:31.48 psnr_v:33.94 
n:47 mse_avg:98.73 mse_y:129.98 mse_u:46.16 mse_v:26.28 psnr_avg:28.19 psnr_y:26.99 psnr_u:31.49 psnr_v:33.93 
n:48 mse_avg:100.14 mse_y:131.99 mse_u:46.59 mse_v:26.27 psnr_avg:28.12 psnr_y:26.93 psnr_u:31.45 psnr_v:33.94 
n:49 mse_avg:99.31 mse_y:130.67 mse_u:46.90 mse_v:26.26 psnr_avg:28.16 psnr_y:26.97 psnr_u:31.42 psnr_v:33.94 
n:50 mse_avg:100.68 mse_y:132.74 mse_u:46.96 mse_v:26.14 psnr_avg:28.10 psnr_y:26.90 psnr_u:31.41 psnr_v:33.96 
n:51 mse_avg:102.83 mse_y:135.90 mse_u:47.29 mse_v:26.09 psnr_avg:28.01 psnr_y:26.80 psnr_u:31.38 psnr_v:33.97 
n:52 mse_avg:105.60 mse_y:139.95 mse_u:47.55 mse_v:26.25 psnr_avg:27.89 psnr_y:26.67 psnr_u:31.36 psnr_v:33.94 
n:53 mse_avg:107.91 mse_y:143.17 mse_u:48.58 mse_v:26.18 psnr_avg:27.80 psnr_y:26.57 psnr_u:31.27 psnr_v:33.95 
n:54 mse_avg:107.09 mse_y:141.83 mse_u:48.93 mse_v:26.30 psnr_avg:27.83 psnr_y:26.61 psnr_u:31.24 psnr_v:33.93 
n:55 mse_avg:108.75 mse_y:144.22 mse_u:48.78 mse_v:26.82 psnr_avg:27.77 psnr_y:26.54 psnr_u:31.25 psnr_v:33.85 
n:56 mse_avg:109.29 mse_y:144.97 mse_u:49.04 mse_v:26.78 psnr_avg:27.75 psnr_y:26.52 psnr_u:31.23 psnr_v:33.85 
n:57 mse_avg:107.84 mse_y:142.96 mse_u:48.52 mse_v:26.71 psnr_avg:27.80 psnr_y:26.58 psnr_u:31.27 psnr_v:33.86 
n:58 mse_avg:109.63 mse_y:145.30 mse_u:49.73 mse_v:26.83 psnr_avg:27.73 psnr_y:26.51 psnr_u:31.16 psnr_v:33.84 
n:59 mse_avg:112.38 mse_y:149.35 mse_u:49.87 mse_v:27.05 psnr_avg:27.62 psnr_y:26.39 psnr_u:31.15 psnr_v:33.81 
n:60 mse_avg:112.93 mse_y:149.85 mse_u:50.62 mse_v:27.54 psnr_avg:27.60 psnr_y:26.37 psnr_u:31.09 psnr_v:33.73 
n:61 mse_avg:112.47 mse_y:149.14 mse_u:50.56 mse_v:27.69 psnr_avg:27.62 psnr_y:26.39 psnr_u:31.09 psnr_v:33.71 
n:62 mse_avg:112.71 mse_y:149.30 mse_u:51.19 mse_v:27.86 psnr_avg:27.61 psnr_y:26.39 psnr_u:31.04 psnr_v:33.68 
n:63 mse_avg:112.20 mse_y:148.52 mse_u:50.95 mse_v:28.18 psnr_avg:27.63 psnr_y:26.41 psnr_u:31.06 psnr_v:33.63 
n:64 mse_avg:113.87 mse_y:150.59 mse_u:52.22 mse_v:28.60 psnr_avg:27.57 psnr_y:26.35 psnr_u:30.95 psnr_v:33.57 
n:65 mse_avg:116.47 mse_y:154.35 mse_u:52.66 mse_v:28.73 psnr_avg:27.47 psnr_y:26.25 psnr_u:30.92 psnr_v:33.55 
n:66 mse_avg:117.62 mse_y:156.00 mse_u:52.78 mse_v:28.94 psnr_avg:27.43 psnr_y:26.20 psnr_u:30.91 psnr_v:33.52 
n:67 mse_avg:119.88 mse_y:159.32 mse_u:52.80 mse_v:29.21 psnr_avg:27.34 psnr_y:26.11 psnr_u:30.90 psnr_v:33.48 
n:68 mse_avg:119.43 mse_y:158.65 mse_u:53.19 mse_v:28.79 psnr_avg:27.36 psnr_y:26.13 psnr_u:30.87 psnr_v:33.54 
n:69 mse_avg:116.57 mse_y:154.38 mse_u:53.52 mse_v:28.40 psnr_avg:27.46 psnr_y:26.24 psnr_u:30.85 psnr_v:33.60 
n:70 mse_avg:116.86 mse_y:154.73 mse_u:53.84 mse_v:28.38 psnr_avg:27.45 psnr_y:26.23 psnr_u:30.82 psnr_v:33.60 
n:71 mse_avg:121.81 mse_y:161.86 mse_u:54.27 mse_v:29.17 psnr_avg:27.27 psnr_y:26.04 psnr_u:30.79 psnr_v:33.48 
