n:1 mse_avg:76.23 mse_y:99.45 mse_u:36.96 mse_v:22.62 psnr_avg:29.31 psnr_y:28.15 psnr_u:32.45 psnr_v:34.59 
n:2 mse_avg:80.36 mse_y:105.27 mse_u:38.38 mse_v:22.70 psnr_avg:29.08 psnr_y:27.91 psnr_u:32.29 psnr_v:34.57 
n:3 mse_avg:78.91 mse_y:103.29 mse_u:37.85 mse_v:22.45 psnr_avg:29.16 psnr_y:27.99 psnr_u:32.35 psnr_v:34.62 
n:4 mse_avg:79.63 mse_y:104.40 mse_u:38.01 mse_v:22.19 psnr_avg:29.12 psnr_y:27.94 psnr_u:32.33 psnr_v:34.67 
n:5 mse_avg:80.01 mse_y:104.78 mse_u:38.57 mse_v:22.36 psnr_avg:29.10 psnr_y:27.93 psnr_u:32.27 psnr_v:34.64 
n:6 mse_avg:79.60 mse_y:104.18 mse_u:38.73 mse_v:22.15 psnr_avg:29.12 psnr_y:27.95 psnr_u:32.25 psnr_v:34.68 
n:7 mse_avg:79.71 mse_y:104.31 mse_u:39.05 mse_v:21.97 psnr_avg:29.12 psnr_y:27.95 psnr_u:32.21 psnr_v:34.71 
n:8 mse_avg:80.29 mse_y:105.07 mse_u:39.35 mse_v:22.11 psnr_avg:29.08 psnr_y:27.92 psnr_u:32.18 psnr_v:34.69 
n:9 mse_avg:80.51 mse_y:105.32 mse_u:39.70 mse_v:22.08 psnr_avg:29.07 psnr_y:27.91 psnr_u:32.14 psnr_v:34.69 
n:10 mse_avg:81.47 mse_y:106.72 mse_u:39.77 mse_v:22.17 psnr_avg:29.02 psnr_y:27.85 psnr_u:32.13 psnr_v:34.67 
n:11 mse_avg:81.48 mse_y:106.76 mse_u:39.79 mse_v:22.02 psnr_avg:29.02 psnr_y:27.85 psnr_u:32.13 psnr_v:34.70 
n:12 mse_avg:82.73 mse_y:108.56 mse_u:40.04 mse_v:22.13 psnr_avg:28.95 psnr_y:27.77 psnr_u:32.11 psnr_v:34.68 
n:13 mse_avg:91.35 mse_y:121.33 mse_u:40.31 mse_v:22.43 psnr_avg:28.52 psnr_y:27.29 psnr_u:32.08 psnr_v:34.62 
n:14 mse_avg:100.53 mse_y:134.68 mse_u:41.40 mse_v:23.05 psnr_avg:28.11 psnr_y:26.84 psnr_u:31.96 psnr_v:34.50 
n:15 mse_avg:105.98 mse_y:142.65 mse_u:42.14 mse_v:23.17 psnr_avg:27.88 psnr_y:26.59 psnr_u:31.88 psnr_v:34.48 
n:16 mse_avg:106.15 mse_y:142.87 mse_u:42.30 mse_v:23.12 psnr_avg:27.87 psnr_y:26.58 psnr_u:31.87 psnr_v:34.49 
n:17 mse_avg:106.52 mse_y:143.23 mse_u:42.75 mse_v:23.46 psnr_avg:27.86 psnr_y:26.57 psnr_u:31.82 psnr_v:34.43 
n:18 mse_avg:107.36 mse_y:144.57 mse_u:42.59 mse_v:23.33 psnr_avg:27.82 psnr_y:26.53 psnr_u:31.84 psnr_v:34.45 
n:19 mse_avg:106.63 mse_y:143.25 mse_u:43.13 mse_v:23.68 psnr_avg:27.85 psnr_y:26.57 psnr_u:31.78 psnr_v:34.39 
