n:1 mse_avg:56.89 mse_y:71.59 mse_u:34.16 mse_v:20.86 psnr_avg:30.58 psnr_y:29.58 psnr_u:32.80 psnr_v:34.94 
n:2 mse_avg:62.28 mse_y:79.68 mse_u:33.90 mse_v:21.03 psnr_avg:30.19 psnr_y:29.12 psnr_u:32.83 psnr_v:34.90 
n:3 mse_avg:66.05 mse_y:85.00 mse_u:35.15 mse_v:21.12 psnr_avg:29.93 psnr_y:28.84 psnr_u:32.67 psnr_v:34.88 
n:4 mse_avg:69.46 mse_y:89.99 mse_u:35.43 mse_v:21.39 psnr_avg:29.71 psnr_y:28.59 psnr_u:32.64 psnr_v:34.83 
n:5 mse_avg:73.41 mse_y:95.65 mse_u:36.18 mse_v:21.67 psnr_avg:29.47 psnr_y:28.32 psnr_u:32.55 psnr_v:34.77 
n:6 mse_avg:77.91 mse_y:102.22 mse_u:36.86 mse_v:21.72 psnr_avg:29.21 psnr_y:28.04 psnr_u:32.47 psnr_v:34.76 
n:7 mse_avg:80.46 mse_y:106.08 mse_u:36.81 mse_v:21.60 psnr_avg:29.08 psnr_y:27.87 psnr_u:32.47 psnr_v:34.79 
n:8 mse_avg:84.23 mse_y:111.45 mse_u:37.53 mse_v:22.06 psnr_avg:28.88 psnr_y:27.66 psnr_u:32.39 psnr_v:34.70 
n:9 mse_avg:87.16 mse_y:115.70 mse_u:37.83 mse_v:22.32 psnr_avg:28.73 psnr_y:27.50 psnr_u:32.35 psnr_v:34.64 
n:10 mse_avg:90.68 mse_y:121.23 mse_u:37.11 mse_v:22.08 psnr_avg:28.56 psnr_y:27.29 psnr_u:32.44 psnr_v:34.69 
n:11 mse_avg:93.56 mse_y:125.34 mse_u:37.95 mse_v:22.01 psnr_avg:28.42 psnr_y:27.15 psnr_u:32.34 psnr_v:34.70 
n:12 mse_avg:95.38 mse_y:127.99 mse_u:38.16 mse_v:22.14 psnr_avg:28.34 psnr_y:27.06 psnr_u:32.31 psnr_v:34.68 
n:13 mse_avg:229.78 mse_y:325.28 mse_u:49.76 mse_v:27.80 psnr_avg:24.52 psnr_y:23.01 psnr_u:31.16 psnr_v:33.69 
n:14 mse_avg:307.74 mse_y:440.18 mse_u:55.54 mse_v:30.17 psnr_avg:23.25 psnr_y:21.69 psnr_u:30.68 psnr_v:33.34 
n:15 mse_avg:316.86 mse_y:453.67 mse_u:56.26 mse_v:30.23 psnr_avg:23.12 psnr_y:21.56 psnr_u:30.63 psnr_v:33.33 
n:16 mse_avg:318.79 mse_y:456.19 mse_u:57.28 mse_v:30.69 psnr_avg:23.10 psnr_y:21.54 psnr_u:30.55 psnr_v:33.26 
