n:39 mse_avg:309.87 mse_y:441.07 mse_u:60.51 mse_v:34.41 psnr_avg:23.22 psnr_y:21.69 psnr_u:30.31 psnr_v:32.76 
n:40 mse_avg:306.34 mse_y:435.69 mse_u:60.77 mse_v:34.53 psnr_avg:23.27 psnr_y:21.74 psnr_u:30.29 psnr_v:32.75 
n:41 mse_avg:308.31 mse_y:438.43 mse_u:61.97 mse_v:34.15 psnr_avg:23.24 psnr_y:21.71 psnr_u:30.21 psnr_v:32.80 
n:42 mse_avg:312.67 mse_y:444.80 mse_u:62.28 mse_v:34.56 psnr_avg:23.18 psnr_y:21.65 psnr_u:30.19 psnr_v:32.74 
n:43 mse_avg:313.12 mse_y:445.51 mse_u:62.11 mse_v:34.59 psnr_avg:23.17 psnr_y:21.64 psnr_u:30.20 psnr_v:32.74 
n:44 mse_avg:309.30 mse_y:439.57 mse_u:63.05 mse_v:34.44 psnr_avg:23.23 psnr_y:21.70 psnr_u:30.13 psnr_v:32.76 
n:45 mse_avg:315.72 mse_y:449.30 mse_u:62.81 mse_v:34.32 psnr_avg:23.14 psnr_y:21.61 psnr_u:30.15 psnr_v:32.78 
n:46 mse_avg:311.46 mse_y:442.67 mse_u:63.17 mse_v:34.90 psnr_avg:23.20 psnr_y:21.67 psnr_u:30.13 psnr_v:32.70 
n:47 mse_avg:316.04 mse_y:449.64 mse_u:62.99 mse_v:34.70 psnr_avg:23.13 psnr_y:21.60 psnr_u:30.14 psnr_v:32.73 
n:48 mse_avg:316.06 mse_y:449.37 mse_u:63.49 mse_v:35.38 psnr_avg:23.13 psnr_y:21.60 psnr_u:30.10 psnr_v:32.64 
n:49 mse_avg:319.56 mse_y:454.30 mse_u:64.70 mse_v:35.44 psnr_avg:23.09 psnr_y:21.56 psnr_u:30.02 psnr_v:32.64 
n:50 mse_avg:320.82 mse_y:456.59 mse_u:63.47 mse_v:35.09 psnr_avg:23.07 psnr_y:21.54 psnr_u:30.11 psnr_v:32.68 
n:51 mse_avg:317.43 mse_y:451.41 mse_u:63.91 mse_v:35.07 psnr_avg:23.11 psnr_y:21.59 psnr_u:30.07 psnr_v:32.68 
n:52 mse_avg:328.02 mse_y:467.52 mse_u:63.11 mse_v:34.95 psnr_avg:22.97 psnr_y:21.43 psnr_u:30.13 psnr_v:32.70 
n:53 mse_avg:328.88 mse_y:468.55 mse_u:64.12 mse_v:34.96 psnr_avg:22.96 psnr_y:21.42 psnr_u:30.06 psnr_v:32.70 
n:54 mse_avg:331.91 mse_y:473.10 mse_u:64.23 mse_v:34.82 psnr_avg:22.92 psnr_y:21.38 psnr_u:30.05 psnr_v:32.71 
n:55 mse_avg:330.49 mse_y:470.88 mse_u:64.26 mse_v:35.20 psnr_avg:22.94 psnr_y:21.40 psnr_u:30.05 psnr_v:32.67 
n:56 mse_avg:339.54 mse_y:484.40 mse_u:64.32 mse_v:35.29 psnr_avg:22.82 psnr_y:21.28 psnr_u:30.05 psnr_v:32.65 
n:57 mse_avg:332.50 mse_y:474.17 mse_u:63.70 mse_v:34.61 psnr_avg:22.91 psnr_y:21.37 psnr_u:30.09 psnr_v:32.74 
