n:1 mse_avg:73.84 mse_y:97.22 mse_u:34.69 mse_v:19.48 psnr_avg:29.45 psnr_y:28.25 psnr_u:32.73 psnr_v:35.23 
n:2 mse_avg:76.07 mse_y:100.34 mse_u:35.23 mse_v:19.86 psnr_avg:29.32 psnr_y:28.12 psnr_u:32.66 psnr_v:35.15 
n:3 mse_avg:75.42 mse_y:99.43 mse_u:35.01 mse_v:19.78 psnr_avg:29.36 psnr_y:28.16 psnr_u:32.69 psnr_v:35.17 
n:4 mse_avg:76.78 mse_y:101.18 mse_u:35.86 mse_v:20.07 psnr_avg:29.28 psnr_y:28.08 psnr_u:32.58 psnr_v:35.10 
n:5 mse_avg:77.04 mse_y:101.52 mse_u:35.98 mse_v:20.16 psnr_avg:29.26 psnr_y:28.07 psnr_u:32.57 psnr_v:35.09 
n:6 mse_avg:77.82 mse_y:102.58 mse_u:36.33 mse_v:20.27 psnr_avg:29.22 psnr_y:28.02 psnr_u:32.53 psnr_v:35.06 
n:7 mse_avg:78.19 mse_y:103.08 mse_u:36.68 mse_v:20.13 psnr_avg:29.20 psnr_y:28.00 psnr_u:32.49 psnr_v:35.09 
n:8 mse_avg:107.14 mse_y:142.35 mse_u:47.35 mse_v:26.08 psnr_avg:27.83 psnr_y:26.60 psnr_u:31.38 psnr_v:33.97 
n:9 mse_avg:142.36 mse_y:193.56 mse_u:52.18 mse_v:27.75 psnr_avg:26.60 psnr_y:25.26 psnr_u:30.96 psnr_v:33.70 
n:10 mse_avg:153.61 mse_y:210.23 mse_u:52.68 mse_v:28.09 psnr_avg:26.27 psnr_y:24.90 psnr_u:30.91 psnr_v:33.65 
n:11 mse_avg:161.86 mse_y:222.63 mse_u:52.54 mse_v:28.08 psnr_avg:26.04 psnr_y:24.66 psnr_u:30.93 psnr_v:33.65 
n:12 mse_avg:167.64 mse_y:231.25 mse_u:52.29 mse_v:28.54 psnr_avg:25.89 psnr_y:24.49 psnr_u:30.95 psnr_v:33.58 
n:13 mse_avg:173.03 mse_y:239.16 mse_u:53.01 mse_v:28.56 psnr_avg:25.75 psnr_y:24.34 psnr_u:30.89 psnr_v:33.57 
n:14 mse_avg:176.51 mse_y:244.17 mse_u:52.94 mse_v:29.48 psnr_avg:25.66 psnr_y:24.25 psnr_u:30.89 psnr_v:33.44 
n:15 mse_avg:183.62 mse_y:254.85 mse_u:53.45 mse_v:28.83 psnr_avg:25.49 psnr_y:24.07 psnr_u:30.85 psnr_v:33.53 
n:16 mse_avg:184.59 mse_y:256.28 mse_u:53.42 mse_v:28.96 psnr_avg:25.47 psnr_y:24.04 psnr_u:30.85 psnr_v:33.51 
n:17 mse_avg:185.50 mse_y:257.51 mse_u:53.29 mse_v:29.66 psnr_avg:25.45 psnr_y:24.02 psnr_u:30.86 psnr_v:33.41 
n:18 mse_avg:188.56 mse_y:262.27 mse_u:53.34 mse_v:28.97 psnr_avg:25.38 psnr_y:23.94 psnr_u:30.86 psnr_v:33.51 
n:19 mse_avg:190.25 mse_y:264.61 mse_u:53.86 mse_v:29.15 psnr_avg:25.34 psnr_y:23.90 psnr_u:30.82 psnr_v:33.48 
n:20 mse_avg:191.37 mse_y:266.31 mse_u:53.93 mse_v:29.05 psnr_avg:25.31 psnr_y:23.88 psnr_u:30.81 psnr_v:33.50 
n:21 mse_avg:190.82 mse_y:265.33 mse_u:53.99 mse_v:29.61 psnr_avg:25.32 psnr_y:23.89 psnr_u:30.81 psnr_v:33.42 
n:22 mse_avg:190.60 mse_y:264.88 mse_u:54.36 mse_v:29.71 psnr_avg:25.33 psnr_y:23.90 psnr_u:30.78 psnr_v:33.40 
n:23 mse_avg:193.64 mse_y:269.39 mse_u:54.37 mse_v:29.93 psnr_avg:25.26 psnr_y:23.83 psnr_u:30.78 psnr_v:33.37 
n:24 mse_avg:191.39 mse_y:265.60 mse_u:55.71 mse_v:30.26 psnr_avg:25.31 psnr_y:23.89 psnr_u:30.67 psnr_v:33.32 
n:25 mse_avg:192.77 mse_y:267.96 mse_u:54.86 mse_v:29.91 psnr_avg:25.28 psnr_y:23.85 psnr_u:30.74 psnr_v:33.37 
n:26 mse_avg:194.42 mse_y:270.36 mse_u:54.75 mse_v:30.35 psnr_avg:25.24 psnr_y:23.81 psnr_u:30.75 psnr_v:33.31 
n:27 mse_avg:197.20 mse_y:274.43 mse_u:54.99 mse_v:30.47 psnr_avg:25.18 psnr_y:23.75 psnr_u:30.73 psnr_v:33.29 
n:28 mse_avg:197.40 mse_y:274.64 mse_u:55.14 mse_v:30.67 psnr_avg:25.18 psnr_y:23.74 psnr_u:30.72 psnr_v:33.26 
n:29 mse_avg:199.73 mse_y:277.91 mse_u:55.86 mse_v:30.87 psnr_avg:25.13 psnr_y:23.69 psnr_u:30.66 psnr_v:33.24 
n:30 mse_avg:204.37 mse_y:285.14 mse_u:54.96 mse_v:30.74 psnr_avg:25.03 psnr_y:23.58 psnr_u:30.73 psnr_v:33.25 
n:31 mse_avg:201.64 mse_y:281.01 mse_u:54.75 mse_v:31.06 psnr_avg:25.09 psnr_y:23.64 psnr_u:30.75 psnr_v:33.21 
n:32 mse_avg:202.94 mse_y:282.90 mse_u:54.93 mse_v:31.12 psnr_avg:25.06 psnr_y:23.61 psnr_u:30.73 psnr_v:33.20 
n:33 mse_avg:200.67 mse_y:279.32 mse_u:55.55 mse_v:31.17 psnr_avg:25.11 psnr_y:23.67 psnr_u:30.68 psnr_v:33.19 
n:34 mse_avg:201.82 mse_y:280.84 mse_u:56.21 mse_v:31.34 psnr_avg:25.08 psnr_y:23.65 psnr_u:30.63 psnr_v:33.17 
n:35 mse_avg:196.48 mse_y:272.63 mse_u:56.48 mse_v:31.87 psnr_avg:25.20 psnr_y:23.78 psnr_u:30.61 psnr_v:33.10 
n:36 mse_avg:198.84 mse_y:276.08 mse_u:56.96 mse_v:31.74 psnr_avg:25.15 psnr_y:23.72 psnr_u:30.58 psnr_v:33.11 
n:37 mse_avg:202.26 mse_y:281.19 mse_u:56.89 mse_v:31.89 psnr_avg:25.07 psnr_y:23.64 psnr_u:30.58 psnr_v:33.09 
n:38 mse_avg:205.39 mse_y:285.81 mse_u:57.44 mse_v:31.69 psnr_avg:25.00 psnr_y:23.57 psnr_u:30.54 psnr_v:33.12 
n:39 mse_avg:204.22 mse_y:284.17 mse_u:56.98 mse_v:31.63 psnr_avg:25.03 psnr_y:23.59 psnr_u:30.57 psnr_v:33.13 
n:40 mse_avg:205.53 mse_y:286.03 mse_u:57.09 mse_v:31.98 psnr_avg:25.00 psnr_y:23.57 psnr_u:30.57 psnr_v:33.08 
n:41 mse_avg:203.72 mse_y:283.08 mse_u:57.68 mse_v:32.33 psnr_avg:25.04 psnr_y:23.61 psnr_u:30.52 psnr_v:33.03 
n:42 mse_avg:205.84 mse_y:286.16 mse_u:57.89 mse_v:32.50 psnr_avg:25.00 psnr_y:23.56 psnr_u:30.51 psnr_v:33.01 
n:43 mse_avg:207.80 mse_y:288.56 mse_u:59.49 mse_v:33.08 psnr_avg:24.95 psnr_y:23.53 psnr_u:30.39 psnr_v:32.93 
