n:39 mse_avg:632.03 mse_y:918.17 mse_u:77.22 mse_v:42.26 psnr_avg:20.12 psnr_y:18.50 psnr_u:29.25 psnr_v:31.87 
n:40 mse_avg:626.37 mse_y:910.36 mse_u:74.66 mse_v:42.14 psnr_avg:20.16 psnr_y:18.54 psnr_u:29.40 psnr_v:31.88 
n:41 mse_avg:615.45 mse_y:893.20 mse_u:76.68 mse_v:43.19 psnr_avg:20.24 psnr_y:18.62 psnr_u:29.28 psnr_v:31.78 
n:42 mse_avg:627.72 mse_y:911.50 mse_u:77.15 mse_v:43.15 psnr_avg:20.15 psnr_y:18.53 psnr_u:29.26 psnr_v:31.78 
n:43 mse_avg:628.62 mse_y:912.47 mse_u:79.10 mse_v:42.75 psnr_avg:20.15 psnr_y:18.53 psnr_u:29.15 psnr_v:31.82 
n:44 mse_avg:639.18 mse_y:928.64 mse_u:78.49 mse_v:42.04 psnr_avg:20.07 psnr_y:18.45 psnr_u:29.18 psnr_v:31.89 
n:45 mse_avg:634.94 mse_y:922.11 mse_u:77.80 mse_v:43.40 psnr_avg:20.10 psnr_y:18.48 psnr_u:29.22 psnr_v:31.76 
n:46 mse_avg:638.87 mse_y:927.55 mse_u:79.62 mse_v:43.41 psnr_avg:20.08 psnr_y:18.46 psnr_u:29.12 psnr_v:31.75 
n:47 mse_avg:637.75 mse_y:926.38 mse_u:77.78 mse_v:43.20 psnr_avg:20.08 psnr_y:18.46 psnr_u:29.22 psnr_v:31.78 
n:48 mse_avg:629.73 mse_y:914.54 mse_u:77.32 mse_v:42.89 psnr_avg:20.14 psnr_y:18.52 psnr_u:29.25 psnr_v:31.81 
n:49 mse_avg:635.03 mse_y:922.52 mse_u:76.74 mse_v:43.40 psnr_avg:20.10 psnr_y:18.48 psnr_u:29.28 psnr_v:31.76 
n:50 mse_avg:640.61 mse_y:931.08 mse_u:76.88 mse_v:42.48 psnr_avg:20.06 psnr_y:18.44 psnr_u:29.27 psnr_v:31.85 
n:51 mse_avg:642.56 mse_y:934.02 mse_u:76.96 mse_v:42.29 psnr_avg:20.05 psnr_y:18.43 psnr_u:29.27 psnr_v:31.87 
n:52 mse_avg:638.43 mse_y:928.11 mse_u:75.56 mse_v:42.61 psnr_avg:20.08 psnr_y:18.45 psnr_u:29.35 psnr_v:31.84 
n:53 mse_avg:640.61 mse_y:931.40 mse_u:76.39 mse_v:41.71 psnr_avg:20.06 psnr_y:18.44 psnr_u:29.30 psnr_v:31.93 
n:54 mse_avg:668.30 mse_y:972.90 mse_u:76.32 mse_v:41.90 psnr_avg:19.88 psnr_y:18.25 psnr_u:29.30 psnr_v:31.91 
n:55 mse_avg:669.41 mse_y:974.72 mse_u:75.79 mse_v:41.80 psnr_avg:19.87 psnr_y:18.24 psnr_u:29.33 psnr_v:31.92 
n:56 mse_avg:667.89 mse_y:972.12 mse_u:76.64 mse_v:42.22 psnr_avg:19.88 psnr_y:18.25 psnr_u:29.29 psnr_v:31.88 
n:57 mse_avg:669.28 mse_y:973.99 mse_u:77.31 mse_v:42.38 psnr_avg:19.87 psnr_y:18.25 psnr_u:29.25 psnr_v:31.86 
n:58 mse_avg:667.49 mse_y:970.89 mse_u:78.61 mse_v:42.78 psnr_avg:19.89 psnr_y:18.26 psnr_u:29.18 psnr_v:31.82 
n:59 mse_avg:686.43 mse_y:999.69 mse_u:77.44 mse_v:42.35 psnr_avg:19.76 psnr_y:18.13 psnr_u:29.24 psnr_v:31.86 
