n:1 mse_avg:19.65 mse_y:21.84 mse_u:17.42 mse_v:13.14 psnr_avg:35.20 psnr_y:34.74 psnr_u:35.72 psnr_v:36.94 
n:2 mse_avg:23.39 mse_y:25.67 mse_u:22.50 mse_v:15.17 psnr_avg:34.44 psnr_y:34.04 psnr_u:34.61 psnr_v:36.32 
n:3 mse_avg:23.82 mse_y:26.02 mse_u:23.32 mse_v:15.52 psnr_avg:34.36 psnr_y:33.98 psnr_u:34.45 psnr_v:36.22 
n:4 mse_avg:24.37 mse_y:26.40 mse_u:24.82 mse_v:15.82 psnr_avg:34.26 psnr_y:33.91 psnr_u:34.18 psnr_v:36.14 
n:5 mse_avg:25.08 mse_y:27.01 mse_u:26.19 mse_v:16.25 psnr_avg:34.14 psnr_y:33.81 psnr_u:33.95 psnr_v:36.02 
n:6 mse_avg:25.10 mse_y:26.92 mse_u:26.52 mse_v:16.37 psnr_avg:34.13 psnr_y:33.83 psnr_u:33.90 psnr_v:35.99 
n:7 mse_avg:25.06 mse_y:26.76 mse_u:26.87 mse_v:16.46 psnr_avg:34.14 psnr_y:33.86 psnr_u:33.84 psnr_v:35.97 
n:8 mse_avg:25.36 mse_y:27.09 mse_u:27.00 mse_v:16.81 psnr_avg:34.09 psnr_y:33.80 psnr_u:33.82 psnr_v:35.87 
n:9 mse_avg:25.45 mse_y:27.24 mse_u:26.97 mse_v:16.76 psnr_avg:34.07 psnr_y:33.78 psnr_u:33.82 psnr_v:35.89 
n:10 mse_avg:26.01 mse_y:27.92 mse_u:27.31 mse_v:17.09 psnr_avg:33.98 psnr_y:33.67 psnr_u:33.77 psnr_v:35.80 
n:11 mse_avg:26.18 mse_y:28.14 mse_u:27.47 mse_v:17.07 psnr_avg:33.95 psnr_y:33.64 psnr_u:33.74 psnr_v:35.81 
n:12 mse_avg:26.36 mse_y:28.45 mse_u:27.30 mse_v:17.09 psnr_avg:33.92 psnr_y:33.59 psnr_u:33.77 psnr_v:35.80 
n:13 mse_avg:34.20 mse_y:39.57 mse_u:29.14 mse_v:17.80 psnr_avg:32.79 psnr_y:32.16 psnr_u:33.49 psnr_v:35.63 
n:14 mse_avg:40.38 mse_y:48.09 mse_u:31.34 mse_v:18.60 psnr_avg:32.07 psnr_y:31.31 psnr_u:33.17 psnr_v:35.44 
n:15 mse_avg:42.16 mse_y:50.35 mse_u:32.85 mse_v:18.73 psnr_avg:31.88 psnr_y:31.11 psnr_u:32.97 psnr_v:35.41 
n:16 mse_avg:42.53 mse_y:50.66 mse_u:33.64 mse_v:18.92 psnr_avg:31.84 psnr_y:31.08 psnr_u:32.86 psnr_v:35.36 
n:17 mse_avg:42.34 mse_y:50.00 mse_u:34.51 mse_v:19.51 psnr_avg:31.86 psnr_y:31.14 psnr_u:32.75 psnr_v:35.23 
n:18 mse_avg:40.72 mse_y:47.64 mse_u:34.47 mse_v:19.32 psnr_avg:32.03 psnr_y:31.35 psnr_u:32.76 psnr_v:35.27 
n:19 mse_avg:41.09 mse_y:47.93 mse_u:34.92 mse_v:19.86 psnr_avg:31.99 psnr_y:31.32 psnr_u:32.70 psnr_v:35.15 
n:20 mse_avg:40.18 mse_y:46.46 mse_u:34.99 mse_v:20.25 psnr_avg:32.09 psnr_y:31.46 psnr_u:32.69 psnr_v:35.07 
n:21 mse_avg:38.41 mse_y:44.01 mse_u:34.39 mse_v:20.02 psnr_avg:32.29 psnr_y:31.69 psnr_u:32.77 psnr_v:35.12 
n:22 mse_avg:36.80 mse_y:41.73 mse_u:33.89 mse_v:20.00 psnr_avg:32.47 psnr_y:31.93 psnr_u:32.83 psnr_v:35.12 
n:23 mse_avg:35.48 mse_y:40.01 mse_u:32.56 mse_v:20.32 psnr_avg:32.63 psnr_y:32.11 psnr_u:33.00 psnr_v:35.05 
n:24 mse_avg:33.83 mse_y:37.78 mse_u:32.08 mse_v:19.81 psnr_avg:32.84 psnr_y:32.36 psnr_u:33.07 psnr_v:35.16 
n:25 mse_avg:32.23 mse_y:35.89 mse_u:30.53 mse_v:19.30 psnr_avg:33.05 psnr_y:32.58 psnr_u:33.28 psnr_v:35.27 
n:26 mse_avg:30.83 mse_y:34.07 mse_u:29.60 mse_v:19.12 psnr_avg:33.24 psnr_y:32.81 psnr_u:33.42 psnr_v:35.32 
n:27 mse_avg:29.39 mse_y:32.06 mse_u:29.11 mse_v:19.02 psnr_avg:33.45 psnr_y:33.07 psnr_u:33.49 psnr_v:35.34 
n:28 mse_avg:28.02 mse_y:30.34 mse_u:28.10 mse_v:18.67 psnr_avg:33.66 psnr_y:33.31 psnr_u:33.64 psnr_v:35.42 
n:29 mse_avg:26.96 mse_y:29.09 mse_u:26.94 mse_v:18.46 psnr_avg:33.82 psnr_y:33.49 psnr_u:33.83 psnr_v:35.47 
n:30 mse_avg:26.14 mse_y:27.99 mse_u:26.49 mse_v:18.35 psnr_avg:33.96 psnr_y:33.66 psnr_u:33.90 psnr_v:35.49 
n:31 mse_avg:25.51 mse_y:27.32 mse_u:25.76 mse_v:18.04 psnr_avg:34.06 psnr_y:33.77 psnr_u:34.02 psnr_v:35.57 
