n:1 mse_avg:24.96 mse_y:28.32 mse_u:21.02 mse_v:15.43 psnr_avg:34.16 psnr_y:33.61 psnr_u:34.90 psnr_v:36.25 
n:2 mse_avg:28.57 mse_y:32.35 mse_u:25.14 mse_v:16.86 psnr_avg:33.57 psnr_y:33.03 psnr_u:34.13 psnr_v:35.86 
n:3 mse_avg:28.62 mse_y:32.22 mse_u:25.88 mse_v:16.96 psnr_avg:33.56 psnr_y:33.05 psnr_u:34.00 psnr_v:35.84 
n:4 mse_avg:29.52 mse_y:33.18 mse_u:27.26 mse_v:17.15 psnr_avg:33.43 psnr_y:32.92 psnr_u:33.78 psnr_v:35.79 
n:5 mse_avg:30.18 mse_y:33.79 mse_u:28.40 mse_v:17.54 psnr_avg:33.33 psnr_y:32.84 psnr_u:33.60 psnr_v:35.69 
n:6 mse_avg:30.15 mse_y:33.55 mse_u:29.01 mse_v:17.69 psnr_avg:33.34 psnr_y:32.87 psnr_u:33.50 psnr_v:35.65 
n:7 mse_avg:30.39 mse_y:33.81 mse_u:29.46 mse_v:17.67 psnr_avg:33.30 psnr_y:32.84 psnr_u:33.44 psnr_v:35.66 
n:8 mse_avg:30.92 mse_y:34.27 mse_u:30.31 mse_v:18.13 psnr_avg:33.23 psnr_y:32.78 psnr_u:33.32 psnr_v:35.55 
n:9 mse_avg:31.04 mse_y:34.39 mse_u:30.59 mse_v:18.05 psnr_avg:33.21 psnr_y:32.77 psnr_u:33.28 psnr_v:35.56 
n:10 mse_avg:31.77 mse_y:35.33 mse_u:30.82 mse_v:18.46 psnr_avg:33.11 psnr_y:32.65 psnr_u:33.24 psnr_v:35.47 
n:11 mse_avg:31.37 mse_y:34.84 mse_u:30.66 mse_v:18.17 psnr_avg:33.17 psnr_y:32.71 psnr_u:33.27 psnr_v:35.54 
n:12 mse_avg:32.15 mse_y:35.93 mse_u:31.01 mse_v:18.21 psnr_avg:33.06 psnr_y:32.58 psnr_u:33.22 psnr_v:35.53 
n:13 mse_avg:39.97 mse_y:47.23 mse_u:32.09 mse_v:18.78 psnr_avg:32.11 psnr_y:31.39 psnr_u:33.07 psnr_v:35.39 
n:14 mse_avg:47.21 mse_y:57.48 mse_u:33.77 mse_v:19.59 psnr_avg:31.39 psnr_y:30.54 psnr_u:32.85 psnr_v:35.21 
n:15 mse_avg:49.88 mse_y:61.12 mse_u:35.08 mse_v:19.71 psnr_avg:31.15 psnr_y:30.27 psnr_u:32.68 psnr_v:35.18 
n:16 mse_avg:49.86 mse_y:60.97 mse_u:35.43 mse_v:19.88 psnr_avg:31.15 psnr_y:30.28 psnr_u:32.64 psnr_v:35.15 
n:17 mse_avg:48.46 mse_y:58.60 mse_u:36.08 mse_v:20.30 psnr_avg:31.28 psnr_y:30.45 psnr_u:32.56 psnr_v:35.06 
n:18 mse_avg:48.44 mse_y:58.54 mse_u:36.26 mse_v:20.22 psnr_avg:31.28 psnr_y:30.46 psnr_u:32.54 psnr_v:35.07 
n:19 mse_avg:46.76 mse_y:55.80 mse_u:36.60 mse_v:20.75 psnr_avg:31.43 psnr_y:30.66 psnr_u:32.50 psnr_v:34.96 
n:20 mse_avg:45.85 mse_y:54.31 mse_u:36.71 mse_v:21.16 psnr_avg:31.52 psnr_y:30.78 psnr_u:32.48 psnr_v:34.88 
n:21 mse_avg:44.95 mse_y:52.94 mse_u:36.82 mse_v:21.12 psnr_avg:31.60 psnr_y:30.89 psnr_u:32.47 psnr_v:34.88 
n:22 mse_avg:43.14 mse_y:50.37 mse_u:36.22 mse_v:21.11 psnr_avg:31.78 psnr_y:31.11 psnr_u:32.54 psnr_v:34.89 
n:23 mse_avg:41.46 mse_y:48.03 mse_u:35.33 mse_v:21.31 psnr_avg:31.95 psnr_y:31.32 psnr_u:32.65 psnr_v:34.85 
n:24 mse_avg:39.50 mse_y:45.38 mse_u:34.68 mse_v:20.81 psnr_avg:32.16 psnr_y:31.56 psnr_u:32.73 psnr_v:34.95 
n:25 mse_avg:37.37 mse_y:42.63 mse_u:33.34 mse_v:20.34 psnr_avg:32.41 psnr_y:31.83 psnr_u:32.90 psnr_v:35.05 
n:26 mse_avg:35.42 mse_y:40.06 mse_u:32.10 mse_v:20.20 psnr_avg:32.64 psnr_y:32.10 psnr_u:33.07 psnr_v:35.08 
n:27 mse_avg:34.13 mse_y:38.41 mse_u:31.31 mse_v:19.86 psnr_avg:32.80 psnr_y:32.29 psnr_u:33.17 psnr_v:35.15 
n:28 mse_avg:32.82 mse_y:36.54 mse_u:30.95 mse_v:19.80 psnr_avg:32.97 psnr_y:32.50 psnr_u:33.22 psnr_v:35.16 
n:29 mse_avg:32.02 mse_y:35.34 mse_u:31.08 mse_v:19.65 psnr_avg:33.08 psnr_y:32.65 psnr_u:33.21 psnr_v:35.20 
n:30 mse_avg:31.07 mse_y:34.25 mse_u:29.89 mse_v:19.55 psnr_avg:33.21 psnr_y:32.78 psnr_u:33.38 psnr_v:35.22 
n:31 mse_avg:30.15 mse_y:33.15 mse_u:28.98 mse_v:19.31 psnr_avg:33.34 psnr_y:32.93 psnr_u:33.51 psnr_v:35.27 
n:32 mse_avg:29.20 mse_y:31.92 mse_u:28.47 mse_v:19.06 psnr_avg:33.48 psnr_y:33.09 psnr_u:33.59 psnr_v:35.33 
n:33 mse_avg:28.71 mse_y:31.07 mse_u:28.97 mse_v:19.02 psnr_avg:33.55 psnr_y:33.21 psnr_u:33.51 psnr_v:35.34 
n:34 mse_avg:28.60 mse_y:31.08 mse_u:28.53 mse_v:18.79 psnr_avg:33.57 psnr_y:33.21 psnr_u:33.58 psnr_v:35.39 
n:35 mse_avg:28.42 mse_y:30.70 mse_u:28.67 mse_v:19.04 psnr_avg:33.59 psnr_y:33.26 psnr_u:33.56 psnr_v:35.33 
n:36 mse_avg:28.82 mse_y:31.32 mse_u:28.74 mse_v:18.91 psnr_avg:33.53 psnr_y:33.17 psnr_u:33.55 psnr_v:35.36 
n:37 mse_avg:29.22 mse_y:31.87 mse_u:28.78 mse_v:19.10 psnr_avg:33.47 psnr_y:33.10 psnr_u:33.54 psnr_v:35.32 
n:38 mse_avg:30.68 mse_y:33.69 mse_u:29.58 mse_v:19.73 psnr_avg:33.26 psnr_y:32.86 psnr_u:33.42 psnr_v:35.18 
n:39 mse_avg:30.56 mse_y:33.35 mse_u:30.32 mse_v:19.64 psnr_avg:33.28 psnr_y:32.90 psnr_u:33.31 psnr_v:35.20 
n:40 mse_avg:30.77 mse_y:33.60 mse_u:30.61 mse_v:19.64 psnr_avg:33.25 psnr_y:32.87 psnr_u:33.27 psnr_v:35.20 
