n:1 mse_avg:75.40 mse_y:99.08 mse_u:35.76 mse_v:20.31 psnr_avg:29.36 psnr_y:28.17 psnr_u:32.60 psnr_v:35.05 
n:2 mse_avg:77.46 mse_y:101.96 mse_u:36.26 mse_v:20.65 psnr_avg:29.24 psnr_y:28.05 psnr_u:32.54 psnr_v:34.98 
n:3 mse_avg:77.46 mse_y:101.78 mse_u:36.59 mse_v:21.06 psnr_avg:29.24 psnr_y:28.05 psnr_u:32.50 psnr_v:34.90 
n:4 mse_avg:78.88 mse_y:103.70 mse_u:37.18 mse_v:21.26 psnr_avg:29.16 psnr_y:27.97 psnr_u:32.43 psnr_v:34.85 
n:5 mse_avg:79.43 mse_y:104.40 mse_u:37.58 mse_v:21.40 psnr_avg:29.13 psnr_y:27.94 psnr_u:32.38 psnr_v:34.83 
n:6 mse_avg:79.90 mse_y:105.20 mse_u:37.41 mse_v:21.20 psnr_avg:29.11 psnr_y:27.91 psnr_u:32.40 psnr_v:34.87 
n:7 mse_avg:79.88 mse_y:105.04 mse_u:38.05 mse_v:21.02 psnr_avg:29.11 psnr_y:27.92 psnr_u:32.33 psnr_v:34.90 
n:8 mse_avg:118.67 mse_y:159.05 mse_u:49.39 mse_v:26.41 psnr_avg:27.39 psnr_y:26.12 psnr_u:31.19 psnr_v:33.91 
n:9 mse_avg:165.95 mse_y:228.42 mse_u:53.61 mse_v:28.39 psnr_avg:25.93 psnr_y:24.54 psnr_u:30.84 psnr_v:33.60 
n:10 mse_avg:181.67 mse_y:251.58 mse_u:54.40 mse_v:29.25 psnr_avg:25.54 psnr_y:24.12 psnr_u:30.77 psnr_v:33.47 
n:11 mse_avg:192.08 mse_y:267.19 mse_u:54.20 mse_v:29.50 psnr_avg:25.30 psnr_y:23.86 psnr_u:30.79 psnr_v:33.43 
n:12 mse_avg:197.51 mse_y:275.22 mse_u:54.93 mse_v:29.25 psnr_avg:25.17 psnr_y:23.73 psnr_u:30.73 psnr_v:33.47 
n:13 mse_avg:200.81 mse_y:280.33 mse_u:54.69 mse_v:28.82 psnr_avg:25.10 psnr_y:23.65 psnr_u:30.75 psnr_v:33.53 
n:14 mse_avg:208.68 mse_y:292.23 mse_u:53.64 mse_v:29.54 psnr_avg:24.94 psnr_y:23.47 psnr_u:30.84 psnr_v:33.43 
n:15 mse_avg:211.83 mse_y:296.95 mse_u:54.05 mse_v:29.15 psnr_avg:24.87 psnr_y:23.40 psnr_u:30.80 psnr_v:33.48 
n:16 mse_avg:212.37 mse_y:297.59 mse_u:54.30 mse_v:29.54 psnr_avg:24.86 psnr_y:23.39 psnr_u:30.78 psnr_v:33.43 
n:17 mse_avg:212.31 mse_y:297.47 mse_u:53.81 mse_v:30.15 psnr_avg:24.86 psnr_y:23.40 psnr_u:30.82 psnr_v:33.34 
n:18 mse_avg:214.68 mse_y:301.10 mse_u:54.20 mse_v:29.52 psnr_avg:24.81 psnr_y:23.34 psnr_u:30.79 psnr_v:33.43 
n:19 mse_avg:216.64 mse_y:303.73 mse_u:54.71 mse_v:30.20 psnr_avg:24.77 psnr_y:23.31 psnr_u:30.75 psnr_v:33.33 
n:20 mse_avg:214.78 mse_y:301.12 mse_u:54.43 mse_v:29.77 psnr_avg:24.81 psnr_y:23.34 psnr_u:30.77 psnr_v:33.39 
n:21 mse_avg:215.41 mse_y:301.95 mse_u:54.68 mse_v:30.00 psnr_avg:24.80 psnr_y:23.33 psnr_u:30.75 psnr_v:33.36 
n:22 mse_avg:224.00 mse_y:314.44 mse_u:55.57 mse_v:30.69 psnr_avg:24.63 psnr_y:23.16 psnr_u:30.68 psnr_v:33.26 
n:23 mse_avg:222.52 mse_y:312.13 mse_u:55.58 mse_v:30.98 psnr_avg:24.66 psnr_y:23.19 psnr_u:30.68 psnr_v:33.22 
n:24 mse_avg:218.32 mse_y:305.78 mse_u:56.12 mse_v:30.66 psnr_avg:24.74 psnr_y:23.28 psnr_u:30.64 psnr_v:33.27 
n:25 mse_avg:224.02 mse_y:314.49 mse_u:55.79 mse_v:30.37 psnr_avg:24.63 psnr_y:23.15 psnr_u:30.67 psnr_v:33.31 
n:26 mse_avg:219.55 mse_y:307.58 mse_u:56.07 mse_v:30.92 psnr_avg:24.72 psnr_y:23.25 psnr_u:30.64 psnr_v:33.23 
n:27 mse_avg:225.28 mse_y:316.18 mse_u:56.18 mse_v:30.77 psnr_avg:24.60 psnr_y:23.13 psnr_u:30.63 psnr_v:33.25 
n:28 mse_avg:226.68 mse_y:318.18 mse_u:56.14 mse_v:31.21 psnr_avg:24.58 psnr_y:23.10 psnr_u:30.64 psnr_v:33.19 
n:29 mse_avg:227.53 mse_y:319.39 mse_u:56.57 mse_v:31.03 psnr_avg:24.56 psnr_y:23.09 psnr_u:30.60 psnr_v:33.21 
n:30 mse_avg:227.16 mse_y:318.96 mse_u:55.85 mse_v:31.24 psnr_avg:24.57 psnr_y:23.09 psnr_u:30.66 psnr_v:33.18 
n:31 mse_avg:229.19 mse_y:322.08 mse_u:55.42 mse_v:31.41 psnr_avg:24.53 psnr_y:23.05 psnr_u:30.69 psnr_v:33.16 
n:32 mse_avg:226.08 mse_y:317.19 mse_u:55.89 mse_v:31.81 psnr_avg:24.59 psnr_y:23.12 psnr_u:30.66 psnr_v:33.10 
n:33 mse_avg:223.07 mse_y:312.60 mse_u:56.65 mse_v:31.35 psnr_avg:24.65 psnr_y:23.18 psnr_u:30.60 psnr_v:33.17 
n:34 mse_avg:225.66 mse_y:316.50 mse_u:57.00 mse_v:30.97 psnr_avg:24.60 psnr_y:23.13 psnr_u:30.57 psnr_v:33.22 
n:35 mse_avg:220.38 mse_y:308.33 mse_u:56.91 mse_v:32.05 psnr_avg:24.70 psnr_y:23.24 psnr_u:30.58 psnr_v:33.07 
n:36 mse_avg:227.37 mse_y:318.71 mse_u:57.30 mse_v:32.08 psnr_avg:24.56 psnr_y:23.10 psnr_u:30.55 psnr_v:33.07 
n:37 mse_avg:225.34 mse_y:315.44 mse_u:57.82 mse_v:32.47 psnr_avg:24.60 psnr_y:23.14 psnr_u:30.51 psnr_v:33.02 
n:38 mse_avg:230.36 mse_y:322.94 mse_u:57.85 mse_v:32.55 psnr_avg:24.51 psnr_y:23.04 psnr_u:30.51 psnr_v:33.01 
n:39 mse_avg:231.81 mse_y:325.00 mse_u:58.19 mse_v:32.69 psnr_avg:24.48 psnr_y:23.01 psnr_u:30.48 psnr_v:32.99 
n:40 mse_avg:231.66 mse_y:324.86 mse_u:57.87 mse_v:32.66 psnr_avg:24.48 psnr_y:23.01 psnr_u:30.51 psnr_v:32.99 
