n:1 mse_avg:32.14 mse_y:37.63 mse_u:25.10 mse_v:17.20 psnr_avg:33.06 psnr_y:32.38 psnr_u:34.13 psnr_v:35.77 
n:2 mse_avg:35.41 mse_y:41.92 mse_u:26.89 mse_v:17.89 psnr_avg:32.64 psnr_y:31.91 psnr_u:33.84 psnr_v:35.60 
n:3 mse_avg:37.70 mse_y:45.08 mse_u:27.96 mse_v:17.93 psnr_avg:32.37 psnr_y:31.59 psnr_u:33.67 psnr_v:35.59 
n:4 mse_avg:39.53 mse_y:47.55 mse_u:28.67 mse_v:18.28 psnr_avg:32.16 psnr_y:31.36 psnr_u:33.56 psnr_v:35.51 
n:5 mse_avg:42.22 mse_y:51.39 mse_u:29.16 mse_v:18.61 psnr_avg:31.88 psnr_y:31.02 psnr_u:33.48 psnr_v:35.43 
n:6 mse_avg:44.66 mse_y:54.73 mse_u:30.44 mse_v:18.58 psnr_avg:31.63 psnr_y:30.75 psnr_u:33.30 psnr_v:35.44 
n:7 mse_avg:46.69 mse_y:57.61 mse_u:30.96 mse_v:18.73 psnr_avg:31.44 psnr_y:30.53 psnr_u:33.22 psnr_v:35.41 
n:8 mse_avg:49.21 mse_y:61.11 mse_u:31.53 mse_v:19.30 psnr_avg:31.21 psnr_y:30.27 psnr_u:33.14 psnr_v:35.28 
n:9 mse_avg:51.10 mse_y:63.82 mse_u:31.74 mse_v:19.55 psnr_avg:31.05 psnr_y:30.08 psnr_u:33.11 psnr_v:35.22 
n:10 mse_avg:52.51 mse_y:65.72 mse_u:32.35 mse_v:19.86 psnr_avg:30.93 psnr_y:29.95 psnr_u:33.03 psnr_v:35.15 
n:11 mse_avg:55.87 mse_y:70.57 mse_u:33.03 mse_v:19.95 psnr_avg:30.66 psnr_y:29.64 psnr_u:32.94 psnr_v:35.13 
n:12 mse_avg:56.87 mse_y:71.96 mse_u:33.52 mse_v:19.87 psnr_avg:30.58 psnr_y:29.56 psnr_u:32.88 psnr_v:35.15 
n:13 mse_avg:156.84 mse_y:218.51 mse_u:41.86 mse_v:25.15 psnr_avg:26.18 psnr_y:24.74 psnr_u:31.91 psnr_v:34.12 
n:14 mse_avg:204.97 mse_y:289.18 mse_u:45.84 mse_v:27.23 psnr_avg:25.01 psnr_y:23.52 psnr_u:31.52 psnr_v:33.78 
n:15 mse_avg:217.02 mse_y:306.67 mse_u:47.67 mse_v:27.80 psnr_avg:24.77 psnr_y:23.26 psnr_u:31.35 psnr_v:33.69 
n:16 mse_avg:226.20 mse_y:320.26 mse_u:48.39 mse_v:27.77 psnr_avg:24.59 psnr_y:23.08 psnr_u:31.28 psnr_v:33.69 
n:17 mse_avg:232.02 mse_y:328.66 mse_u:49.22 mse_v:28.28 psnr_avg:24.48 psnr_y:22.96 psnr_u:31.21 psnr_v:33.62 
n:18 mse_avg:232.97 mse_y:330.28 mse_u:48.68 mse_v:27.98 psnr_avg:24.46 psnr_y:22.94 psnr_u:31.26 psnr_v:33.66 
n:19 mse_avg:236.68 mse_y:335.32 mse_u:50.31 mse_v:28.52 psnr_avg:24.39 psnr_y:22.88 psnr_u:31.11 psnr_v:33.58 
n:20 mse_avg:238.27 mse_y:337.73 mse_u:49.61 mse_v:29.08 psnr_avg:24.36 psnr_y:22.85 psnr_u:31.18 psnr_v:33.50 
n:21 mse_avg:236.88 mse_y:335.45 mse_u:50.37 mse_v:29.06 psnr_avg:24.39 psnr_y:22.87 psnr_u:31.11 psnr_v:33.50 
n:22 mse_avg:236.83 mse_y:335.37 mse_u:50.82 mse_v:28.68 psnr_avg:24.39 psnr_y:22.88 psnr_u:31.07 psnr_v:33.56 
n:23 mse_avg:238.93 mse_y:338.36 mse_u:50.59 mse_v:29.55 psnr_avg:24.35 psnr_y:22.84 psnr_u:31.09 psnr_v:33.43 
n:24 mse_avg:238.11 mse_y:337.16 mse_u:50.90 mse_v:29.14 psnr_avg:24.36 psnr_y:22.85 psnr_u:31.06 psnr_v:33.49 
n:25 mse_avg:242.99 mse_y:344.16 mse_u:51.74 mse_v:29.53 psnr_avg:24.27 psnr_y:22.76 psnr_u:30.99 psnr_v:33.43 
n:26 mse_avg:244.76 mse_y:346.92 mse_u:51.50 mse_v:29.36 psnr_avg:24.24 psnr_y:22.73 psnr_u:31.01 psnr_v:33.45 
n:27 mse_avg:244.58 mse_y:346.75 mse_u:50.97 mse_v:29.52 psnr_avg:24.25 psnr_y:22.73 psnr_u:31.06 psnr_v:33.43 
n:28 mse_avg:242.92 mse_y:344.49 mse_u:50.45 mse_v:29.12 psnr_avg:24.28 psnr_y:22.76 psnr_u:31.10 psnr_v:33.49 
n:29 mse_avg:243.57 mse_y:345.08 mse_u:51.32 mse_v:29.73 psnr_avg:24.26 psnr_y:22.75 psnr_u:31.03 psnr_v:33.40 
n:30 mse_avg:246.61 mse_y:349.74 mse_u:50.91 mse_v:29.76 psnr_avg:24.21 psnr_y:22.69 psnr_u:31.06 psnr_v:33.40 
n:31 mse_avg:245.65 mse_y:348.30 mse_u:51.03 mse_v:29.64 psnr_avg:24.23 psnr_y:22.71 psnr_u:31.05 psnr_v:33.41 
n:32 mse_avg:245.78 mse_y:348.54 mse_u:50.95 mse_v:29.54 psnr_avg:24.23 psnr_y:22.71 psnr_u:31.06 psnr_v:33.43 
n:33 mse_avg:242.16 mse_y:342.64 mse_u:52.06 mse_v:30.32 psnr_avg:24.29 psnr_y:22.78 psnr_u:30.97 psnr_v:33.31 
n:34 mse_avg:243.15 mse_y:344.63 mse_u:50.28 mse_v:30.09 psnr_avg:24.27 psnr_y:22.76 psnr_u:31.12 psnr_v:33.35 
n:35 mse_avg:241.57 mse_y:341.99 mse_u:51.42 mse_v:30.06 psnr_avg:24.30 psnr_y:22.79 psnr_u:31.02 psnr_v:33.35 
n:36 mse_avg:239.17 mse_y:338.18 mse_u:52.08 mse_v:30.20 psnr_avg:24.34 psnr_y:22.84 psnr_u:30.96 psnr_v:33.33 
n:37 mse_avg:241.88 mse_y:342.26 mse_u:51.41 mse_v:30.82 psnr_avg:24.29 psnr_y:22.79 psnr_u:31.02 psnr_v:33.24 
n:38 mse_avg:246.73 mse_y:349.42 mse_u:52.12 mse_v:30.62 psnr_avg:24.21 psnr_y:22.70 psnr_u:30.96 psnr_v:33.27 
n:39 mse_avg:242.51 mse_y:343.01 mse_u:51.92 mse_v:31.12 psnr_avg:24.28 psnr_y:22.78 psnr_u:30.98 psnr_v:33.20 
n:40 mse_avg:241.56 mse_y:341.55 mse_u:52.16 mse_v:30.97 psnr_avg:24.30 psnr_y:22.80 psnr_u:30.96 psnr_v:33.22 
n:41 mse_avg:240.88 mse_y:340.57 mse_u:52.39 mse_v:30.65 psnr_avg:24.31 psnr_y:22.81 psnr_u:30.94 psnr_v:33.27 
