n:1 mse_avg:81.20 mse_y:105.46 mse_u:41.66 mse_v:23.71 psnr_avg:29.04 psnr_y:27.90 psnr_u:31.93 psnr_v:34.38 
n:2 mse_avg:89.59 mse_y:117.09 mse_u:44.93 mse_v:24.26 psnr_avg:28.61 psnr_y:27.45 psnr_u:31.61 psnr_v:34.28 
n:3 mse_avg:88.42 mse_y:115.55 mse_u:44.09 mse_v:24.22 psnr_avg:28.67 psnr_y:27.50 psnr_u:31.69 psnr_v:34.29 
n:4 mse_avg:89.61 mse_y:117.10 mse_u:45.10 mse_v:24.15 psnr_avg:28.61 psnr_y:27.45 psnr_u:31.59 psnr_v:34.30 
n:5 mse_avg:89.84 mse_y:117.22 mse_u:45.67 mse_v:24.50 psnr_avg:28.60 psnr_y:27.44 psnr_u:31.53 psnr_v:34.24 
n:6 mse_avg:89.72 mse_y:117.14 mse_u:45.35 mse_v:24.40 psnr_avg:28.60 psnr_y:27.44 psnr_u:31.56 psnr_v:34.26 
n:7 mse_avg:89.05 mse_y:116.11 mse_u:45.55 mse_v:24.32 psnr_avg:28.63 psnr_y:27.48 psnr_u:31.55 psnr_v:34.27 
n:8 mse_avg:98.43 mse_y:129.67 mse_u:47.19 mse_v:24.73 psnr_avg:28.20 psnr_y:27.00 psnr_u:31.39 psnr_v:34.20 
n:9 mse_avg:107.13 mse_y:142.41 mse_u:48.30 mse_v:24.85 psnr_avg:27.83 psnr_y:26.60 psnr_u:31.29 psnr_v:34.18 
n:10 mse_avg:104.94 mse_y:139.27 mse_u:47.78 mse_v:24.79 psnr_avg:27.92 psnr_y:26.69 psnr_u:31.34 psnr_v:34.19 
n:11 mse_avg:107.70 mse_y:143.22 mse_u:48.43 mse_v:24.87 psnr_avg:27.81 psnr_y:26.57 psnr_u:31.28 psnr_v:34.17 
n:12 mse_avg:108.39 mse_y:144.16 mse_u:48.60 mse_v:25.07 psnr_avg:27.78 psnr_y:26.54 psnr_u:31.26 psnr_v:34.14 
n:13 mse_avg:108.75 mse_y:144.67 mse_u:48.67 mse_v:25.12 psnr_avg:27.77 psnr_y:26.53 psnr_u:31.26 psnr_v:34.13 
n:14 mse_avg:109.72 mse_y:146.02 mse_u:48.62 mse_v:25.67 psnr_avg:27.73 psnr_y:26.49 psnr_u:31.26 psnr_v:34.04 
n:15 mse_avg:107.37 mse_y:142.33 mse_u:49.19 mse_v:25.72 psnr_avg:27.82 psnr_y:26.60 psnr_u:31.21 psnr_v:34.03 
n:16 mse_avg:103.25 mse_y:136.30 mse_u:48.72 mse_v:25.62 psnr_avg:27.99 psnr_y:26.79 psnr_u:31.25 psnr_v:34.05 
n:17 mse_avg:99.96 mse_y:131.47 mse_u:48.22 mse_v:25.65 psnr_avg:28.13 psnr_y:26.94 psnr_u:31.30 psnr_v:34.04 
n:18 mse_avg:97.29 mse_y:127.80 mse_u:47.37 mse_v:25.15 psnr_avg:28.25 psnr_y:27.07 psnr_u:31.38 psnr_v:34.13 
n:19 mse_avg:97.12 mse_y:127.54 mse_u:47.14 mse_v:25.43 psnr_avg:28.26 psnr_y:27.07 psnr_u:31.40 psnr_v:34.08 
n:20 mse_avg:97.04 mse_y:127.59 mse_u:46.25 mse_v:25.62 psnr_avg:28.26 psnr_y:27.07 psnr_u:31.48 psnr_v:34.04 
n:21 mse_avg:96.10 mse_y:126.22 mse_u:46.22 mse_v:25.50 psnr_avg:28.30 psnr_y:27.12 psnr_u:31.48 psnr_v:34.06 
n:22 mse_avg:94.78 mse_y:124.11 mse_u:46.70 mse_v:25.58 psnr_avg:28.36 psnr_y:27.19 psnr_u:31.44 psnr_v:34.05 
n:23 mse_avg:95.50 mse_y:125.02 mse_u:46.68 mse_v:26.27 psnr_avg:28.33 psnr_y:27.16 psnr_u:31.44 psnr_v:33.94 
n:24 mse_avg:94.74 mse_y:123.76 mse_u:47.47 mse_v:25.96 psnr_avg:28.37 psnr_y:27.21 psnr_u:31.37 psnr_v:33.99 
n:25 mse_avg:96.25 mse_y:126.20 mse_u:47.20 mse_v:25.51 psnr_avg:28.30 psnr_y:27.12 psnr_u:31.39 psnr_v:34.06 
n:26 mse_avg:98.87 mse_y:130.04 mse_u:46.98 mse_v:26.10 psnr_avg:28.18 psnr_y:26.99 psnr_u:31.41 psnr_v:33.96 
n:27 mse_avg:100.50 mse_y:132.39 mse_u:47.15 mse_v:26.29 psnr_avg:28.11 psnr_y:26.91 psnr_u:31.40 psnr_v:33.93 
n:28 mse_avg:102.56 mse_y:135.28 mse_u:47.72 mse_v:26.52 psnr_avg:28.02 psnr_y:26.82 psnr_u:31.34 psnr_v:33.89 
n:29 mse_avg:102.62 mse_y:135.30 mse_u:47.96 mse_v:26.56 psnr_avg:28.02 psnr_y:26.82 psnr_u:31.32 psnr_v:33.89 
n:30 mse_avg:103.71 mse_y:136.76 mse_u:48.52 mse_v:26.72 psnr_avg:27.97 psnr_y:26.77 psnr_u:31.27 psnr_v:33.86 
n:31 mse_avg:105.24 mse_y:138.97 mse_u:48.60 mse_v:26.95 psnr_avg:27.91 psnr_y:26.70 psnr_u:31.26 psnr_v:33.82 
n:32 mse_avg:105.48 mse_y:139.43 mse_u:48.16 mse_v:26.96 psnr_avg:27.90 psnr_y:26.69 psnr_u:31.30 psnr_v:33.82 
n:33 mse_avg:104.34 mse_y:137.47 mse_u:48.76 mse_v:27.39 psnr_avg:27.95 psnr_y:26.75 psnr_u:31.25 psnr_v:33.75 
n:34 mse_avg:104.86 mse_y:138.33 mse_u:48.66 mse_v:27.20 psnr_avg:27.92 psnr_y:26.72 psnr_u:31.26 psnr_v:33.78 
n:35 mse_avg:103.74 mse_y:136.66 mse_u:48.54 mse_v:27.25 psnr_avg:27.97 psnr_y:26.77 psnr_u:31.27 psnr_v:33.78 
n:36 mse_avg:104.08 mse_y:136.91 mse_u:49.39 mse_v:27.42 psnr_avg:27.96 psnr_y:26.77 psnr_u:31.19 psnr_v:33.75 
n:37 mse_avg:105.32 mse_y:138.63 mse_u:49.84 mse_v:27.58 psnr_avg:27.91 psnr_y:26.71 psnr_u:31.16 psnr_v:33.73 
n:38 mse_avg:108.38 mse_y:143.19 mse_u:49.33 mse_v:28.19 psnr_avg:27.78 psnr_y:26.57 psnr_u:31.20 psnr_v:33.63 
n:39 mse_avg:106.96 mse_y:141.01 mse_u:49.79 mse_v:27.95 psnr_avg:27.84 psnr_y:26.64 psnr_u:31.16 psnr_v:33.67 
n:40 mse_avg:106.41 mse_y:140.20 mse_u:49.90 mse_v:27.81 psnr_avg:27.86 psnr_y:26.66 psnr_u:31.15 psnr_v:33.69 
n:41 mse_avg:106.36 mse_y:139.96 mse_u:50.35 mse_v:27.95 psnr_avg:27.86 psnr_y:26.67 psnr_u:31.11 psnr_v:33.67 
n:42 mse_avg:106.45 mse_y:140.02 mse_u:50.45 mse_v:28.20 psnr_avg:27.86 psnr_y:26.67 psnr_u:31.10 psnr_v:33.63 
n:43 mse_avg:108.12 mse_y:142.31 mse_u:51.25 mse_v:28.24 psnr_avg:27.79 psnr_y:26.60 psnr_u:31.03 psnr_v:33.62 
n:44 mse_avg:108.44 mse_y:142.60 mse_u:51.65 mse_v:28.56 psnr_avg:27.78 psnr_y:26.59 psnr_u:31.00 psnr_v:33.57 
n:45 mse_avg:110.39 mse_y:145.57 mse_u:51.58 mse_v:28.47 psnr_avg:27.70 psnr_y:26.50 psnr_u:31.01 psnr_v:33.59 
n:46 mse_avg:111.11 mse_y:146.52 mse_u:51.69 mse_v:28.88 psnr_avg:27.67 psnr_y:26.47 psnr_u:31.00 psnr_v:33.52 
n:47 mse_avg:110.92 mse_y:146.24 mse_u:51.63 mse_v:28.91 psnr_avg:27.68 psnr_y:26.48 psnr_u:31.00 psnr_v:33.52 
n:48 mse_avg:111.77 mse_y:147.42 mse_u:52.05 mse_v:28.87 psnr_avg:27.65 psnr_y:26.45 psnr_u:30.97 psnr_v:33.53 
n:49 mse_avg:111.73 mse_y:147.35 mse_u:52.20 mse_v:28.73 psnr_avg:27.65 psnr_y:26.45 psnr_u:30.95 psnr_v:33.55 
n:50 mse_avg:113.27 mse_y:149.69 mse_u:52.21 mse_v:28.61 psnr_avg:27.59 psnr_y:26.38 psnr_u:30.95 psnr_v:33.57 
n:51 mse_avg:115.54 mse_y:152.95 mse_u:52.90 mse_v:28.56 psnr_avg:27.50 psnr_y:26.29 psnr_u:30.90 psnr_v:33.57 
n:52 mse_avg:118.28 mse_y:157.11 mse_u:52.39 mse_v:28.83 psnr_avg:27.40 psnr_y:26.17 psnr_u:30.94 psnr_v:33.53 
n:53 mse_avg:121.07 mse_y:161.13 mse_u:53.36 mse_v:28.53 psnr_avg:27.30 psnr_y:26.06 psnr_u:30.86 psnr_v:33.58 
n:54 mse_avg:120.34 mse_y:160.02 mse_u:53.39 mse_v:28.57 psnr_avg:27.33 psnr_y:26.09 psnr_u:30.86 psnr_v:33.57 
n:55 mse_avg:121.68 mse_y:161.87 mse_u:53.72 mse_v:28.87 psnr_avg:27.28 psnr_y:26.04 psnr_u:30.83 psnr_v:33.53 
n:56 mse_avg:122.78 mse_y:163.29 mse_u:54.56 mse_v:28.93 psnr_avg:27.24 psnr_y:26.00 psnr_u:30.76 psnr_v:33.52 
n:57 mse_avg:120.37 mse_y:159.85 mse_u:53.94 mse_v:28.90 psnr_avg:27.33 psnr_y:26.09 psnr_u:30.81 psnr_v:33.52 
n:58 mse_avg:122.74 mse_y:163.13 mse_u:54.81 mse_v:29.12 psnr_avg:27.24 psnr_y:26.01 psnr_u:30.74 psnr_v:33.49 
n:59 mse_avg:125.24 mse_y:166.82 mse_u:55.00 mse_v:29.15 psnr_avg:27.15 psnr_y:25.91 psnr_u:30.73 psnr_v:33.48 
n:60 mse_avg:125.61 mse_y:167.11 mse_u:55.77 mse_v:29.46 psnr_avg:27.14 psnr_y:25.90 psnr_u:30.67 psnr_v:33.44 
n:61 mse_avg:125.45 mse_y:166.79 mse_u:55.72 mse_v:29.81 psnr_avg:27.15 psnr_y:25.91 psnr_u:30.67 psnr_v:33.39 
n:62 mse_avg:125.95 mse_y:167.26 mse_u:56.51 mse_v:30.14 psnr_avg:27.13 psnr_y:25.90 psnr_u:30.61 psnr_v:33.34 
n:63 mse_avg:125.89 mse_y:167.18 mse_u:56.39 mse_v:30.24 psnr_avg:27.13 psnr_y:25.90 psnr_u:30.62 psnr_v:33.33 
